date,site,aspect,elev,meanT,varT,minT,maxT
2022-08-27,gp,T,upper,5.833583333333333,13.307822514492758,1.764,13.846
2022-08-27,jp,N,east,7.706833333333334,9.505803787878788,3.788,12.304
2022-08-27,jp,N,west,7.341166666666667,18.480976333333334,2.624,13.846
2022-08-27,jp,S,east,8.138916666666667,19.55755171969697,3.261,17.094
2022-08-27,jp,S,west,8.627166666666666,25.293867424242425,3.049,16.808
2022-08-27,jp,T,east,9.189416666666666,17.278826810606063,4.623,17.094
2022-08-27,jp,T,west,8.422,21.867935818181817,3.261,16.903
2022-08-27,nr,N,upper,9.483166666666666,23.471828333333335,4.311,18.045
2022-08-27,nr,S,east,12.603708333333334,29.608245519927536,6.268,22.333
2022-08-28,gp,N,lower,9.110333333333333,28.707820424242424,3.261,19.662
2022-08-28,gp,N,upper,6.438583333333334,19.98392971969697,1.764,15.664
2022-08-28,gp,S,lower,9.812416666666667,26.820715356060614,4.207,19.853
2022-08-28,gp,S,upper,8.522166666666665,22.448860151515145,3.155,18.711
2022-08-28,gp,T,lower,9.522333333333334,36.833393333333326,3.155,22.238
2022-08-28,gp,T,upper,6.638166666666667,18.448647101449282,2.303,15.664
2022-08-28,jp,N,east,7.431,9.210742000000002,3.893,11.625
2022-08-28,jp,N,west,8.028666666666666,20.550578242424244,2.837,14.709
2022-08-28,jp,S,east,8.269,15.147113818181817,3.998,13.461
2022-08-28,jp,S,west,8.401666666666667,17.39013715151515,3.683,14.134
2022-08-28,jp,T,east,9.03825,14.780377295454548,4.623,14.996
2022-08-28,jp,T,west,8.711583333333333,22.43607335606061,3.893,17.379
2022-08-28,nr,N,upper,9.261833333333334,14.932523969696966,5.141,16.141
2022-08-28,nr,S,east,12.48375,20.253080195652167,7.28,21.473
2022-08-29,gp,N,lower,9.885083333333334,31.8121824469697,3.472,19.662
2022-08-29,gp,N,upper,7.843416666666667,27.478587174242424,1.98,16.808
2022-08-29,gp,S,lower,10.394666666666666,29.909568242424243,4.207,18.616
2022-08-29,gp,S,upper,10.451333333333332,37.530126424242425,3.049,19.377
2022-08-29,gp,T,lower,10.373,41.12504236363636,3.261,21.473
2022-08-29,gp,T,upper,8.381833333333333,28.426650057971013,2.303,17.57
2022-08-29,jp,N,east,9.088333333333333,20.957048060606056,3.472,15.76
2022-08-29,jp,N,west,10.32475,45.91567020454546,2.303,20.138
2022-08-29,jp,S,east,11.977833333333335,62.890309242424244,3.049,25.222
2022-08-29,jp,S,west,11.91775,61.1081858409091,2.517,23.004
2022-08-29,jp,T,east,12.029166666666667,49.063292878787884,4.102,23.1
2022-08-29,jp,T,west,11.698333333333334,51.61213915151516,3.049,20.519
2022-08-29,nr,N,upper,11.087333333333333,35.71246915151516,4.311,20.043
2022-08-29,nr,S,east,13.834458333333334,31.38655347644926,6.877,22.717
2022-08-29,nr,T,upper,NA,NA,NA,NA
2022-08-30,gp,N,lower,11.105666666666666,32.1588766060606,4.102,20.234
2022-08-30,gp,N,upper,8.953916666666666,25.516786810606064,2.517,16.713
2022-08-30,gp,S,lower,11.3945,28.447413000000008,5.244,20.043
2022-08-30,gp,S,upper,11.972,35.96867690909091,4.415,20.71
2022-08-30,gp,T,lower,11.339,36.40438636363636,4.102,19.948
2022-08-30,gp,T,upper,9.071916666666667,21.814289297101446,2.73,15.951
2022-08-30,jp,N,east,10.24175,20.27267929545455,4.727,17.475
2022-08-30,jp,N,west,12.253833333333334,53.338481424242424,3.788,23.388
2022-08-30,jp,S,east,13.868916666666665,60.15401899242424,5.141,25.902
2022-08-30,jp,S,west,14.012083333333333,57.53103626515151,4.934,25.416
2022-08-30,jp,T,east,13.447583333333332,44.90900771969697,5.86,24.158
2022-08-30,jp,T,west,13.683166666666667,54.15581706060606,4.934,23.484
2022-08-30,nr,N,upper,11.919166666666666,33.68391687878788,5.141,19.472
2022-08-30,nr,S,east,14.710791666666667,24.715219128623197,8.082,22.333
2022-08-30,nr,T,upper,13.07275,33.40804056818181,6.268,22.333
2022-08-31,gp,N,lower,10.229,20.351202727272725,5.244,18.711
2022-08-31,gp,N,upper,8.461416666666667,15.47815008333333,4.519,15.664
2022-08-31,gp,S,lower,10.913416666666667,18.835076628787878,6.268,17.475
2022-08-31,gp,S,upper,11.72525,24.392098750000002,5.86,20.329
2022-08-31,gp,T,lower,11.023416666666666,31.611132992424245,5.244,21.855
2022-08-31,gp,T,upper,8.826583333333334,17.69629521014492,4.415,16.903
2022-08-31,jp,N,east,9.4535,7.318989000000002,5.962,13.269
2022-08-31,jp,N,west,10.172083333333333,16.160991174242426,5.757,15.855
2022-08-31,jp,S,east,12.727166666666667,27.362176696969694,6.471,20.329
2022-08-31,jp,S,west,12.500833333333333,22.370353787878784,6.471,18.711
2022-08-31,jp,T,east,12.339333333333334,19.20165751515152,7.179,19.282
2022-08-31,jp,T,west,12.620416666666667,29.459073719696963,6.471,22.429
2022-08-31,nr,N,upper,12.196083333333334,28.728779719696977,5.86,20.519
2022-08-31,nr,S,east,15.04325,24.76880410869566,9.077,24.255
2022-08-31,nr,T,upper,12.941833333333333,24.056407969696966,7.481,22.429
2022-09-01,gp,N,lower,9.57775,24.43772675,3.893,18.236
2022-09-01,gp,N,upper,8.263916666666667,18.513047356060607,3.049,15.664
2022-09-01,gp,S,lower,10.22225,21.92418111363636,4.623,18.521
2022-09-01,gp,S,upper,10.89575,24.26212947727273,4.831,18.806
2022-09-01,gp,T,lower,10.3725,35.49370081818182,3.578,21.282
2022-09-01,gp,T,upper,9.068416666666668,26.543017644927534,2.73,19.187
2022-09-01,jp,N,east,8.7325,9.688004818181817,4.934,13.365
2022-09-01,jp,N,west,9.698083333333333,21.30361990151516,3.788,15.473
2022-09-01,jp,S,east,12.330333333333332,32.99778678787878,5.86,20.519
2022-09-01,jp,S,west,11.760916666666667,27.442920628787878,5.244,18.996
2022-09-01,jp,T,east,11.724083333333333,23.91846353787879,5.962,18.521
2022-09-01,jp,T,west,12.297583333333334,33.075880810606066,5.757,21.187
2022-09-01,nr,N,upper,9.489333333333333,13.354043515151515,4.934,15.951
2022-09-01,nr,S,east,12.987416666666666,12.472947471014493,8.182,19.282
2022-09-01,nr,T,upper,11.01875,16.26300984090909,6.268,18.901
2022-09-02,gp,N,lower,10.361833333333333,26.4205676060606,4.934,19.567
2022-09-02,gp,N,upper,9.25275,18.20382875,5.037,16.999
2022-09-02,gp,S,lower,11.238416666666668,27.33085571969697,5.655,21.282
2022-09-02,gp,S,upper,12.274666666666667,31.969435878787873,5.962,22.717
2022-09-02,gp,T,lower,11.671833333333334,47.1580856060606,4.934,25.125
2022-09-02,gp,T,upper,9.986583333333334,20.72972929710145,5.45,17.76
2022-09-02,jp,N,east,10.068083333333334,13.037370810606062,5.757,15.855
2022-09-02,jp,N,west,12.352083333333333,34.78360190151516,5.86,21.091
2022-09-02,jp,S,east,14.45325,49.20918965909091,7.079,27.468
2022-09-02,jp,S,west,14.120583333333332,40.47857081060605,6.573,24.641
2022-09-02,jp,T,east,13.445333333333334,32.362212787878796,7.179,22.621
2022-09-02,jp,T,west,13.98275,39.127103840909086,6.978,22.908
2022-09-02,nr,N,upper,12.225416666666666,29.986816265151514,6.268,21.473
2022-09-02,nr,S,east,13.831583333333334,21.015267297101452,7.983,22.812
2022-09-02,nr,T,upper,12.829166666666666,23.691099606060604,7.682,22.717
2022-09-03,gp,N,lower,8.52725,18.20195184090909,4.415,18.616
2022-09-03,gp,N,upper,6.9319999999999995,26.505978545454546,3.367,20.519
2022-09-03,gp,S,lower,9.274,16.86481727272727,5.757,20.043
2022-09-03,gp,S,upper,9.325916666666666,15.579004265151514,5.244,19.377
2022-09-03,gp,T,lower,8.975666666666667,34.76768296969696,4.519,25.125
2022-09-03,gp,T,upper,6.592583333333333,26.553310166666666,3.367,19.377
2022-09-03,jp,N,east,8.962250000000001,10.28815747727273,4.519,14.038
2022-09-03,jp,N,west,10.162916666666666,25.888155356060608,3.683,17.189
2022-09-03,jp,S,east,11.259666666666668,26.080942424242426,4.727,19.662
2022-09-03,jp,S,west,11.620333333333335,22.13229551515151,5.45,18.236
2022-09-03,jp,T,east,11.401083333333334,19.7319084469697,5.45,19.187
2022-09-03,jp,T,west,11.386416666666666,23.231906265151515,5.037,17.95
2022-09-03,nr,N,upper,12.958333333333332,46.781194969696976,5.347,23.484
2022-09-03,nr,S,east,15.454875,36.97635046195653,7.983,25.416
2022-09-03,nr,T,upper,13.948583333333334,42.82093753787879,6.877,24.158
2022-09-04,gp,N,lower,9.361083333333333,30.10129444696969,3.683,18.711
2022-09-04,gp,N,upper,7.6764166666666664,20.844696083333332,2.73,14.9
2022-09-04,gp,S,lower,10.32,33.86688418181817,4.311,19.758
2022-09-04,gp,S,upper,11.117333333333333,40.337830242424246,4.102,20.901
2022-09-04,gp,T,lower,10.539916666666667,52.90924935606062,3.367,23.196
2022-09-04,gp,T,upper,8.1885,21.85566408695652,2.73,15.951
2022-09-04,jp,N,east,9.422333333333333,11.614100969696972,5.552,15.473
2022-09-04,jp,N,west,11.936416666666666,30.676649537878777,5.347,21.187
2022-09-04,jp,S,east,15.029416666666666,60.54639771969698,7.079,28.555
2022-09-04,jp,S,west,14.209833333333334,44.07120724242424,6.674,24.835
2022-09-04,jp,T,east,13.347166666666666,37.35985215151515,6.674,22.812
2022-09-04,jp,T,west,14.068,39.91178672727273,7.079,22.717
2022-09-04,nr,N,upper,15.192833333333333,65.69144396969696,7.079,29.352
2022-09-04,nr,S,east,17.248166666666666,43.41069718840579,9.373,28.357
2022-09-04,nr,T,upper,15.564,49.912037454545434,8.082,27.272
2022-09-05,gp,N,lower,10.836416666666667,27.375088810606055,5.552,20.138
2022-09-05,gp,N,upper,9.026,16.094646545454545,5.037,15.664
2022-09-05,gp,S,lower,11.773666666666667,31.147692060606058,6.268,22.621
2022-09-05,gp,S,upper,12.271,25.60625345454546,6.674,20.234
2022-09-05,gp,T,lower,12.170166666666667,49.33033633333333,5.655,24.545
2022-09-05,gp,T,upper,10.19175,18.542201413043486,6.268,17.76
