plantID,pop,site,elv_pt,est_25,nrt_25,tpi_25,tri_25,plcv_25,prcv_25
47,NorthLower,guanella,-0.5248628854751587,0.00347578154497135,0.43992994778946265,-0.01568434913040773,0.03381123319712875,-0.8784373676293251,0.1806396982731661
1,NorthLower,guanella,-0.5355915427207947,0.18694024781878651,0.3304909287609958,0.00290842997877283,0.03042739224309513,-0.3632061421130868,0.05228294222292098
2,NorthLower,guanella,-0.5350629091262817,0.00200969060159018,0.2991779639290146,-0.01321921955795559,0.02911569359093931,0.527240946411261,-0.4577760175436984
7,NorthLower,guanella,-0.4977855086326599,0.12290433153196416,0.29112157762860774,-0.02718021088445947,0.04003480201548463,0.03434521726877539,-1.0952231222665525
5,NorthLower,guanella,-0.49248006939888,0.1926288762006906,0.3217477403304248,-0.02397183622926601,0.03854976588828818,0.10230841622203164,-0.7541234524547604
6,NorthLower,guanella,-0.4912765622138977,0.11405173159392602,0.2583333698686259,-0.01713231184176313,0.03160300626793369,0.18896302851623076,-1.210980244856966
12,NorthLower,guanella,-0.5453003644943237,0.2509561598412753,0.4328759600202018,-0.00714075307391038,0.03889467981208252,-0.03028267386017721,-0.17540994527457132
16,NorthLower,guanella,-0.4932372272014618,0.20774721024879547,0.3829039633805517,-0.011223153509117,0.03888311947903786,-0.13422356903901655,0.04096807836147174
15,NorthLower,guanella,-0.4781836271286011,0.20370812863512816,0.39564305118999576,-0.0118104548060226,0.04015659134907102,-0.34367471981131864,0.09162747662158316
21,NorthLower,guanella,-0.5376984477043152,0.24229100973826537,0.3226213016821379,-0.01308131223667149,0.04217872196665483,-0.33760394007849404,-0.5190487779959625
103,NorthLower,guanella,-0.1575198471546173,0.2807785646743063,0.4416479512150975,-0.02627268269877604,0.04672519296596189,-0.10699435351519064,-0.29292048858397135
29,NorthLower,guanella,-0.515215277671814,0.3314705784510965,0.42482401389116087,0.0058451335326992,0.04730484621723363,0.18691972719169464,-0.5069437178647213
39,NorthLower,guanella,-0.44747018814086914,-0.00955990920357618,0.35752485117338983,-3.859804239609097e-5,0.0370384131813675,0.07119508397970603,0.15301144685182816
43,NorthLower,guanella,-0.4566028118133545,0.11234256151010952,0.3487754785128954,-0.02890500091097823,0.04551391359602132,-0.2478299570620016,0.0635404525895672
45,NorthLower,guanella,-0.4640945494174957,-0.08759825899133032,0.24624473215468545,-0.00402129769526989,0.03055929574215456,0.16564739960265917,-0.6437466950895291
46,NorthLower,guanella,-0.43526431918144226,0.00153619637544233,0.3515419356230859,0.0090892872269263,0.02941993750696407,-0.694285380774672,0.00855160643377283
48,NorthLower,guanella,-0.4608811140060425,0.15365377651534012,0.3420326465556062,-0.00164728125514344,0.03210749422796891,-0.01744206991215362,0.1108603751696616
51,NorthLower,guanella,-0.477768212556839,0.1817884972594178,0.5100375793025651,0.00400649246622976,0.04259530453342564,0.4132238399162704,0.3825150513606755
58,NorthLower,guanella,-0.4316476583480835,0.19309713206180143,0.3787459411930805,-0.00739156521296837,0.03662902285426792,-0.15729052243351996,-0.0806277824633695
59,NorthLower,guanella,-0.4298022389411926,0.17881419982853433,0.42155457023637927,-0.00606617281895887,0.03678280919959387,-0.01873580489411388,-0.0682136214456584
68,NorthLower,guanella,-0.4486463665962219,0.1980401868186627,0.39666413913441306,-0.00806393352053307,0.03576770310814511,-0.06047888135008613,-0.25402631327091996
72,NorthLower,guanella,-0.48208895325660706,0.13258763395205075,0.45129140371977433,-0.01061532221990968,0.03159217447156939,-0.19343465188388856,-0.00988237283025805
73,NorthLower,guanella,-0.4072844088077545,0.2096489138473379,0.4451115789896445,0.00546480397653469,0.03589914589402943,-0.2128903786858475,-0.2632095990131009
74,NorthLower,guanella,-0.4764658212661743,0.12524211460920512,0.543392180160117,-0.00467025138191915,0.02970739413695195,-0.04812458297596659,-0.3748609064344853
75,NorthLower,guanella,-0.4300701022148132,0.28700917891075467,0.51110617311625,-0.01576499457579483,0.05174469785788427,-0.1225913975521454,-0.1716268239731643
81,NorthLower,guanella,-0.5136854648590088,0.12279618135382352,0.3956760953954498,-0.0209498982120794,0.0498336151323946,-0.02234261667014358,-0.6621003301865048
80,NorthLower,guanella,-0.49795544147491455,0.1457917706395823,0.3728677291480568,-0.01191950851394556,0.04683424539613438,0.11284667452439837,-0.6020853959822876
91,NorthLower,guanella,-0.2770228087902069,0.30639430263840833,0.4257709973244968,-0.00884260371306974,0.03991267663569012,-0.10536546183359252,-0.1643100827427209
94,NorthLower,guanella,-0.1777961552143097,0.367065464996056,0.3875034901880391,0.0117885334366944,0.03758262041547216,0.00352875294831004,-0.11738464608578791
95,NorthLower,guanella,-0.14186075329780579,0.31049950673772403,0.34363841296963565,-7.635260174864288e-4,0.0313934426578609,0.08365334456258881,0.19820994792127455
96,NorthLower,guanella,-0.17474360764026642,0.3291789402265141,0.46747566046685046,0.00311408631194113,0.0359832336007455,0.3276887603918734,0.24900244865542595
100,NorthLower,guanella,-0.175480455160141,0.2129402185569708,0.5253815072535163,-0.00488380716876996,0.03164815745214273,-0.05809547811324787,-0.15193040135742347
99,NorthLower,guanella,-0.21390601992607117,0.29875686652948463,0.4835153820100097,-0.00582805582570777,0.03291501377147398,-0.25145612693562464,0.05568002328197438
98,NorthLower,guanella,-0.21946802735328672,0.2907713384890353,0.4601454089406407,-0.00235719071149446,0.03311424662882272,-0.14178765491440248,-0.08464882015676754
101,NorthLower,guanella,-0.1855040043592453,0.2592707100085303,0.4836620443606885,-0.00173895913014826,0.02853022503405217,-0.2706214041385101,0.11187102438409126
104,NorthLower,guanella,-0.1711805909872055,0.2531052907722713,0.4082161151290379,0.00230883752913618,0.02714139390075,-0.19813618764065996,-0.17169409494017218
108,NorthLower,guanella,-0.09768814593553544,0.373230211440316,0.4008492230458702,-1.4175861139754053e-4,0.04038323353768335,-0.20368760449033976,0.13291025454423705
106,NorthLower,guanella,-0.16774870455265045,0.23537623234455776,0.4212239203066785,-3.7264738489362846e-4,0.02671467937144916,-0.2877352671351903,-0.48623924000933455
107,NorthLower,guanella,-0.17005634307861328,0.28763058422727994,0.40591468884242465,-0.00636611205842624,0.02989682403613035,-0.3621243404998401,-0.611850728543193
97,NorthLower,guanella,-0.18999716639518735,0.30571616439314003,0.5226729467089498,-0.00730777752029263,0.03433959960407438,0.22197763652127597,0.16895006845073562
114,NorthLower,guanella,-1.0186936855316162,0.2546513560318367,0.4859379633930266,-0.00904315207865189,0.03155580359147882,0.1920708115927681,0.02564766598074652
115,NorthLower,guanella,-0.9956355094909668,0.23062714094987063,0.503082664033231,-0.001859296493568,0.03293982765768975,-0.11951271441550924,0.04140983880126725
121,NorthLower,guanella,-0.9576320052146912,0.14327499050034087,0.5471796743830103,-0.00107766138897714,0.03264293985469442,0.14099923790111232,-0.04029144753724308
126,NorthLower,guanella,-0.9760783910751344,0.15378519742664,0.5579323628745068,8.106548221546343e-4,0.02696580388167411,-0.08984489816923863,-0.19562644209801291
128,NorthLower,guanella,-0.9686210751533508,0.1586679747253599,0.5443074273293618,0.00275449927746671,0.02747178906211289,-0.01000669951963975,-0.1924571336262019
127,NorthLower,guanella,-1.0232893228530884,0.143888920921609,0.5948606694872566,0.00124869548272981,0.02722536078709839,-0.13909402156181477,0.08984462310866786
129,NorthLower,guanella,-0.987504541873932,0.15317693365642268,0.5265842802772456,0.00505704921138438,0.02556592996377213,-0.02590713735041403,0.00524896968390983
131,NorthLower,guanella,-0.9826719164848328,0.1756061099943544,0.534730706361595,0.00291320908050598,0.0261530680951796,-0.08798671572490369,-0.07434753867428087
136,NorthLower,guanella,-0.9981080889701844,0.1679325210771819,0.4740912040729175,8.79469360589139e-4,0.03064798907129404,0.07022925575154354,0.24101971039484676
137,NorthLower,guanella,-0.93640798330307,0.22557309848206847,0.4675303736861022,0.00623171239952232,0.03434549739099624,0.1120551818622854,-0.00873255125728181
142,NorthLower,guanella,-0.8411282300949097,0.16851242134432476,0.4942108579807832,-0.00178821695423936,0.03516708049414573,-0.2610740521328666,0.2029922538040453
148,NorthLower,guanella,-0.7566602826118469,0.1358000675596074,0.35366201214098575,0.00714959784190627,0.03021188607855045,0.04637743401603179,0.21234104143930072
