plantID,pop,site,elv_pt,slpT_30,aspT_30,estT_30,nrtT_30,pop_est,pop_nrt,pop_slp,slp_10,est_10,nrt_10,tpi_10,tri_10,plcv_10,prcv_10,hli_10,pins_10,slp_30,est_30,nrt_30,tpi_30,tri_30,plcv_30,prcv_30,hli_30,pins_30,slp_50,est_50,nrt_50,tpi_50,tri_50,plcv_50,prcv_50,hli_50,pins_50,ms_slp_50,ms_est_50,ms_nrt_50,ms_plcv_50,ms_prcv_50,ms_tpi_10,ms_tpi_50,ms_tpi_500
47,LowerNorth,Guanella,-0.5248628854751587,10.442489360877008,20.585284067727834,0.3515890153415079,0.9361173826886433,0.43465234520830853,0.8900037162307737,11.706829303180495,17.455593769385125,-0.03738423531187506,0.6116106498370621,-0.006812404666577778,0.016207377448401464,-1.6281543628204433,-1.3174276067304769,0.6571334487172503,0.8333573143430902,21.2134883793368,0.060485102916005236,0.3436981720219342,-0.018203699312594284,0.03894932417164698,-0.8137960576018293,0.13348402628359315,0.6563534115884067,0.8072139967208661,22.59018889975135,0.09620261239828612,0.35086833329102673,-0.0273915651694383,0.06009758741378173,-0.21479551539738462,0.05597781342570287,0.6341973231339917,0.7985354453014225,8.760952743652878,0.5104042866329744,0.8213863339941514,3.3958702494053534e-4,0.0013077752601944133,0.3767484374993728,0.8584324511093655,38.124020131077486
1,LowerNorth,Guanella,-0.5355915427207947,11.991767110483016,25.825124776711185,0.4355683892796372,0.9000090881533285,0.43465234520830853,0.8900037162307737,11.706829303180495,16.459649229084118,0.04773906998171384,-0.035280730000158814,0.00376029216911143,0.008121416398237805,-0.1692836216918125,0.6804378810492899,0.7211332229939618,0.8370105189568843,21.318859862350152,0.13903230522240484,0.3649613201726395,0.002549200736470598,0.03880893155291725,-0.36933478714681833,0.2086233707469364,0.617636402428012,0.8074869599720843,20.12247000196579,0.12681715757833867,0.46110515105069605,0.005974182191936735,0.06633783171091903,-0.025719445355125194,0.17152238941878126,0.6149045411833671,0.8146504689963443,8.760952743652878,0.5104042866329744,0.8213863339941514,3.3958702494053534e-4,0.0013077752601944133,0.3767484374993728,0.8584324511093655,38.124020131077486
2,LowerNorth,Guanella,-0.5350629091262817,11.980678901869426,24.673756647642843,0.41738753404038487,0.9085615379541538,0.43465234520830853,0.8900037162307737,11.706829303180495,22.493549398841505,0.23923715297677967,0.34978372308351413,-0.009577604134415031,0.018346653152089783,0.22114465485014667,-0.6765511983627237,0.612609605121315,0.802195209940104,20.546163279969086,0.07332529059621415,0.31149412715940095,-0.013364856088005792,0.03597520399652997,0.36346007430829164,-0.12001296355282673,0.6425011244243993,0.8113069015564475,21.12718691123033,0.11066610023394498,0.4213066477159071,-0.0077425841916194844,0.06230020512026113,0.0819973440881805,0.13112179110086536,0.6204206819936064,0.8073888924394197,8.760952743652878,0.5104042866329744,0.8213863339941514,3.3958702494053534e-4,0.0013077752601944133,0.3767484374993728,0.8584324511093655,38.124020131077486
7,LowerNorth,Guanella,-0.4977855086326599,12.17578670840423,20.11391102529872,0.3438853625094852,0.9390044303951189,0.43465234520830853,0.8900037162307737,11.706829303180495,19.916384030733525,0.23607350228479218,0.3159779489619639,-0.011306534516663354,0.019724226588880026,-0.9907844238871627,-3.1059577310877646,0.6030521839420588,0.8178471737545775,21.191746173410777,0.19475422401672166,0.2850915810072147,-0.030737092843693022,0.04463652170768241,0.17453367907907083,-0.8011381818900216,0.6330312909213187,0.809184091573188,21.62389489873945,0.14376878537895638,0.2960384648613383,-0.0380599500288596,0.06436729299950242,0.042720365388164004,-0.28079383734277114,0.6365717621940604,0.8061022242793094,8.760952743652878,0.5104042866329744,0.8213863339941514,3.3958702494053534e-4,0.0013077752601944133,0.3767484374993728,0.8584324511093655,38.124020131077486
5,LowerNorth,Guanella,-0.49248006939888,12.162186089185623,20.08044924352584,0.3433376828935746,0.9392072248900871,0.43465234520830853,0.8900037162307737,11.706829303180495,19.236781107421727,0.1664960929446926,0.45554320724435177,-0.011452735155754729,0.021239102523861263,-0.6784129134645626,-2.9596500287335736,0.5986940470647686,0.8220737282734398,20.75466973327494,0.18424864106723532,0.3074661547919642,-0.027150727684441954,0.04412905963771128,0.1630197674366712,-0.6962133979559769,0.6306814581019786,0.8129330134678515,21.69086661703828,0.14114438360765283,0.3049745231806645,-0.03670848045760535,0.0648408992084751,0.04317738220483324,-0.30239787803840545,0.6354829453474194,0.8059075434979721,8.760952743652878,0.5104042866329744,0.8213863339941514,3.3958702494053534e-4,0.0013077752601944133,0.3767484374993728,0.8584324511093655,38.124020131077486
6,LowerNorth,Guanella,-0.4912765622138977,12.188249516329263,20.109068951006627,0.3438055770013178,0.9390323174321066,0.43465234520830853,0.8900037162307737,11.706829303180495,17.62234675672373,0.13825133350318772,0.09569371604360895,4.036987324552193e-4,0.010739780377975362,-0.6693639578144288,-2.4705580722386595,0.6618583846879598,0.8312390053959009,21.591682728466026,0.19115191960852326,0.26324388934061227,-0.020144325947087604,0.03625583216849171,0.23632716449517382,-0.863299781909334,0.6364471227664765,0.8058684091040565,21.640412802590436,0.14101398612800992,0.2887392896511556,-0.02627318236179734,0.056649281739847575,0.06281714222714191,-0.24517614729247128,0.6385333185124673,0.8059879832682035,8.760952743652878,0.5104042866329744,0.8213863339941514,3.3958702494053534e-4,0.0013077752601944133,0.3767484374993728,0.8584324511093655,38.124020131077486
12,LowerNorth,Guanella,-0.5453003644943237,12.255247473939777,21.979047717055153,0.3742338844882586,0.9272374675056851,0.43465234520830853,0.8900037162307737,11.706829303180495,20.065307567818827,0.04853535043460547,0.36160251365066637,-0.004464759695220169,0.01614937897845334,0.4016081743346284,-0.7813217581332111,0.6431879599354864,0.8125679696853705,21.337705012371742,0.21964483654945263,0.3949448138093149,-0.00798961982927492,0.045485881619776944,-0.2793505793947432,-0.08207884478333534,0.6051715563964998,0.8087580901720935,22.669904345252817,0.18783375761428267,0.41880984671111626,-0.013427259579588176,0.0728130011097743,-0.18403110780723314,0.13082550292306935,0.6027646939284218,0.7985771197250777,8.760952743652878,0.5104042866329744,0.8213863339941514,3.3958702494053534e-4,0.0013077752601944133,0.3767484374993728,0.8584324511093655,38.124020131077486
16,LowerNorth,Guanella,-0.4932372272014618,12.083773844185703,23.18563659802297,0.39367358043893264,0.9191455786211639,0.43465234520830853,0.8900037162307737,11.706829303180495,20.725246023515886,0.38953816890736026,0.5029460195313071,-0.004294274899278238,0.02042330441426466,-2.4929378684163876,-1.2414604392701998,0.5606274844662015,0.8125692587866947,25.67006499312142,0.24078114832002276,0.40528640892595413,-0.01106544171789017,0.047234486653852645,-0.05219945738217498,-0.013107328804978698,0.5802027100372537,0.7766260800015896,23.518999259327238,0.2647555189186613,0.33599362745363354,-0.01479015341411949,0.07566220598229671,-0.06051495059914979,-0.03143023503363238,0.590824651372936,0.7922288737590345,8.760952743652878,0.5104042866329744,0.8213863339941514,3.3958702494053534e-4,0.0013077752601944133,0.3767484374993728,0.8584324511093655,38.124020131077486
15,LowerNorth,Guanella,-0.4781836271286011,12.056869887966903,22.913536884967208,0.38930634975948347,0.9210100939097127,0.43465234520830853,0.8900037162307737,11.706829303180495,24.49023066564781,0.2525240512590619,0.5060477186017001,-0.009600923199893852,0.02204375366389225,-0.9193411706393634,0.9372072858090058,0.5675357204589889,0.7810693033458297,25.95577724691395,0.2626922404102744,0.4032701160057068,-0.013230126909740254,0.047826571771598936,-0.11807187009960785,-0.00657685572751309,0.5774705107912548,0.7755496204324633,23.75793856803636,0.263482370040403,0.3311671865221053,-0.014687407337716873,0.07506163580016903,-0.07166615781150316,-0.023401209025913926,0.5912405058471529,0.79068195846426,8.760952743652878,0.5104042866329744,0.8213863339941514,3.3958702494053534e-4,0.0013077752601944133,0.3767484374993728,0.8584324511093655,38.124020131077486
21,LowerNorth,Guanella,-0.5376984477043152,12.10430683878291,25.052478077540172,0.4234025455719083,0.9058226829451361,0.43465234520830853,0.8900037162307737,11.706829303180495,25.669953513709995,-0.0021876532237570215,0.45688877548781975,-0.003459549343367307,0.020410012928657878,0.013084577070026417,-1.2261295998077641,0.6237784076270398,0.7790378174849835,23.24266158630904,0.25527446473302007,0.3375497219924175,-0.016049578026315073,0.05028880299103821,-0.146529304198814,-0.36055471280848994,0.5867096398197637,0.7932394959668089,23.037393740058963,0.2865307218676903,0.42535184038523577,-0.019579637137229523,0.08166005612379303,-0.003360969279706256,-0.025802780680025113,0.5738168774693949,0.795270458256279,8.760952743652878,0.5104042866329744,0.8213863339941514,3.3958702494053534e-4,0.0013077752601944133,0.3767484374993728,0.8584324511093655,38.124020131077486
