plantID,pop,site,elv_pt,slp_30,est_30,nrt_30,tpi_30,tri_30,plcv_30,prcv_30,ms_slp_50,ms_est_50,ms_nrt_50,ms_plcv_50,ms_prcv_50,ms_tpi_10,ms_tpi_50,ms_tpi_500
47,LowerNorth,Guanella,-0.5248628854751587,21.2134883793368,0.06048510291600523,0.3436981720219342,-0.01820369931259428,0.03894932417164698,-0.8137960576018293,0.13348402628359315,8.760952743652878,0.5104042866329744,0.8213863339941514,3.3958702494053534e-4,0.00130777526019441,0.3767484374993728,0.8584324511093655,38.124020131077486
1,LowerNorth,Guanella,-0.5355915427207947,21.318859862350152,0.13903230522240484,0.3649613201726395,0.00254920073647059,0.03880893155291725,-0.36933478714681833,0.2086233707469364,8.760952743652878,0.5104042866329744,0.8213863339941514,3.3958702494053534e-4,0.00130777526019441,0.3767484374993728,0.8584324511093655,38.124020131077486
2,LowerNorth,Guanella,-0.5350629091262817,20.54616327996909,0.07332529059621415,0.31149412715940095,-0.01336485608800579,0.03597520399652997,0.3634600743082917,-0.12001296355282672,8.760952743652878,0.5104042866329744,0.8213863339941514,3.3958702494053534e-4,0.00130777526019441,0.3767484374993728,0.8584324511093655,38.124020131077486
7,LowerNorth,Guanella,-0.4977855086326599,21.191746173410777,0.19475422401672168,0.2850915810072147,-0.03073709284369302,0.04463652170768241,0.17453367907907083,-0.8011381818900216,8.760952743652878,0.5104042866329744,0.8213863339941514,3.3958702494053534e-4,0.00130777526019441,0.3767484374993728,0.8584324511093655,38.124020131077486
5,LowerNorth,Guanella,-0.49248006939888,20.75466973327494,0.18424864106723532,0.3074661547919642,-0.02715072768444195,0.04412905963771128,0.1630197674366712,-0.6962133979559769,8.760952743652878,0.5104042866329744,0.8213863339941514,3.3958702494053534e-4,0.00130777526019441,0.3767484374993728,0.8584324511093655,38.124020131077486
6,LowerNorth,Guanella,-0.4912765622138977,21.591682728466026,0.1911519196085233,0.26324388934061227,-0.0201443259470876,0.03625583216849171,0.23632716449517385,-0.863299781909334,8.760952743652878,0.5104042866329744,0.8213863339941514,3.3958702494053534e-4,0.00130777526019441,0.3767484374993728,0.8584324511093655,38.124020131077486
12,LowerNorth,Guanella,-0.5453003644943237,21.337705012371742,0.21964483654945263,0.3949448138093149,-0.00798961982927492,0.04548588161977694,-0.2793505793947432,-0.08207884478333534,8.760952743652878,0.5104042866329744,0.8213863339941514,3.3958702494053534e-4,0.00130777526019441,0.3767484374993728,0.8584324511093655,38.124020131077486
16,LowerNorth,Guanella,-0.4932372272014618,25.67006499312142,0.24078114832002276,0.40528640892595413,-0.01106544171789017,0.04723448665385264,-0.05219945738217498,-0.01310732880497869,8.760952743652878,0.5104042866329744,0.8213863339941514,3.3958702494053534e-4,0.00130777526019441,0.3767484374993728,0.8584324511093655,38.124020131077486
15,LowerNorth,Guanella,-0.4781836271286011,25.95577724691395,0.2626922404102744,0.4032701160057068,-0.01323012690974025,0.04782657177159893,-0.11807187009960785,-0.00657685572751309,8.760952743652878,0.5104042866329744,0.8213863339941514,3.3958702494053534e-4,0.00130777526019441,0.3767484374993728,0.8584324511093655,38.124020131077486
21,LowerNorth,Guanella,-0.5376984477043152,23.24266158630904,0.25527446473302007,0.3375497219924175,-0.01604957802631507,0.05028880299103821,-0.146529304198814,-0.36055471280848994,8.760952743652878,0.5104042866329744,0.8213863339941514,3.3958702494053534e-4,0.00130777526019441,0.3767484374993728,0.8584324511093655,38.124020131077486
103,LowerNorth,Guanella,-0.1575198471546173,18.18607352290637,0.2749397701068089,0.45173718604690494,-0.02833807458720198,0.05203050726131046,-0.17805918331737314,-0.21781556684381903,8.760952743652878,0.5104042866329744,0.8213863339941514,3.3958702494053534e-4,0.00130777526019441,0.3767484374993728,0.8584324511093655,38.124020131077486
