1-Wire/iButton Part Number: DS1921G-F5,,,
1-Wire/iButton Registration Number: 2B000000380EFC21,,,
Is Mission Active?  true,,,
Mission Start:  Mon Aug 21 20:50:00 MDT 2023,,,
Sample Rate:  Every 255 minute(s),,,
Number of Mission Samples:  3595,,,
Total Samples:  10276,,,
Roll Over Enabled?  false,,,
Roll Over Occurred?  Roll over has occurred,,,
Active Alarms:  None fired,,,
Next Clock Alarm At:  Disabled,,,
High Temperature Alarm:  85 °C,,,
Low Temperature Alarm:  -40 °C,,,
,,,
Date/Time,Unit,Value,
10/29/23, 1:05:00 AM,C,1.5
10/29/23, 5:20:00 AM,C,1.5
10/29/23, 9:35:00 AM,C,1.5
10/29/23, 1:50:00 PM,C,1.5
10/29/23, 6:05:00 PM,C,1.5
10/29/23, 10:20:00 PM,C,1.5
10/30/23, 2:35:00 AM,C,1.5
10/30/23, 6:50:00 AM,C,1.5
10/30/23, 11:05:00 AM,C,1
10/30/23, 3:20:00 PM,C,0
10/30/23, 7:35:00 PM,C,-1
10/30/23, 11:50:00 PM,C,-1.5
10/31/23, 4:05:00 AM,C,-1.5
10/31/23, 8:20:00 AM,C,-2
10/31/23, 12:35:00 PM,C,-2
10/31/23, 4:50:00 PM,C,-2
10/31/23, 9:05:00 PM,C,-2
11/1/23, 1:20:00 AM,C,-2
11/1/23, 5:35:00 AM,C,-2
11/1/23, 9:50:00 AM,C,-2
11/1/23, 2:05:00 PM,C,-1
11/1/23, 6:20:00 PM,C,-1
11/1/23, 10:35:00 PM,C,-1.5
11/2/23, 2:50:00 AM,C,-2
11/2/23, 7:05:00 AM,C,-2
11/2/23, 11:20:00 AM,C,-1
11/2/23, 3:35:00 PM,C,-0.5
11/2/23, 7:50:00 PM,C,-1
11/3/23, 12:05:00 AM,C,-1
11/3/23, 4:20:00 AM,C,-1.5
11/3/23, 8:35:00 AM,C,-1.5
11/3/23, 12:50:00 PM,C,-0.5
11/3/23, 5:05:00 PM,C,-0.5
11/3/23, 9:20:00 PM,C,-1.5
11/4/23, 1:35:00 AM,C,-1.5
11/4/23, 5:50:00 AM,C,-1.5
11/4/23, 10:05:00 AM,C,-0.5
11/4/23, 2:20:00 PM,C,1.5
11/4/23, 6:35:00 PM,C,-0.5
11/4/23, 10:50:00 PM,C,-1
11/5/23, 2:05:00 AM,C,-1
11/5/23, 6:20:00 AM,C,-1
11/5/23, 10:35:00 AM,C,2
11/5/23, 2:50:00 PM,C,2.5
11/5/23, 7:05:00 PM,C,0
11/5/23, 11:20:00 PM,C,0
11/6/23, 3:35:00 AM,C,-0.5
11/6/23, 7:50:00 AM,C,0
11/6/23, 12:05:00 PM,C,6
11/6/23, 4:20:00 PM,C,3.5
11/6/23, 8:35:00 PM,C,1
11/7/23, 12:50:00 AM,C,0.5
11/7/23, 5:05:00 AM,C,0
11/7/23, 9:20:00 AM,C,3
11/7/23, 1:35:00 PM,C,9.5
11/7/23, 5:50:00 PM,C,2
11/7/23, 10:05:00 PM,C,1.5
11/8/23, 2:20:00 AM,C,1.5
11/8/23, 6:35:00 AM,C,1
11/8/23, 10:50:00 AM,C,1
11/8/23, 3:05:00 PM,C,1
11/8/23, 7:20:00 PM,C,1
11/8/23, 11:35:00 PM,C,1
11/9/23, 3:50:00 AM,C,1
11/9/23, 8:05:00 AM,C,0.5
11/9/23, 12:20:00 PM,C,0.5
11/9/23, 4:35:00 PM,C,0.5
11/9/23, 8:50:00 PM,C,0
11/10/23, 1:05:00 AM,C,0
11/10/23, 5:20:00 AM,C,0
11/10/23, 9:35:00 AM,C,0
11/10/23, 1:50:00 PM,C,0
11/10/23, 6:05:00 PM,C,-0.5
11/10/23, 10:20:00 PM,C,-0.5
11/11/23, 2:35:00 AM,C,-0.5
11/11/23, 6:50:00 AM,C,-0.5
11/11/23, 11:05:00 AM,C,-0.5
11/11/23, 3:20:00 PM,C,-0.5
11/11/23, 7:35:00 PM,C,-0.5
11/11/23, 11:50:00 PM,C,-0.5
11/12/23, 4:05:00 AM,C,-1
11/12/23, 8:20:00 AM,C,-1
11/12/23, 12:35:00 PM,C,-0.5
11/12/23, 4:50:00 PM,C,-0.5
11/12/23, 9:05:00 PM,C,-1
11/13/23, 1:20:00 AM,C,-1
11/13/23, 5:35:00 AM,C,-1
11/13/23, 9:50:00 AM,C,-0.5
11/13/23, 2:05:00 PM,C,-0.5
11/13/23, 6:20:00 PM,C,-1
11/13/23, 10:35:00 PM,C,-1
11/14/23, 2:50:00 AM,C,-1.5
11/14/23, 7:05:00 AM,C,-1.5
11/14/23, 11:20:00 AM,C,-0.5
11/14/23, 3:35:00 PM,C,-0.5
11/14/23, 7:50:00 PM,C,-1.5
11/15/23, 12:05:00 AM,C,-1.5
11/15/23, 4:20:00 AM,C,-1.5
11/15/23, 8:35:00 AM,C,-1.5
11/15/23, 12:50:00 PM,C,-0.5
11/15/23, 5:05:00 PM,C,-1
11/15/23, 9:20:00 PM,C,-1.5
11/16/23, 1:35:00 AM,C,-1
11/16/23, 5:50:00 AM,C,-1.5
11/16/23, 10:05:00 AM,C,-0.5
11/16/23, 2:20:00 PM,C,0
11/16/23, 6:35:00 PM,C,-0.5
11/16/23, 10:50:00 PM,C,-0.5
11/17/23, 3:05:00 AM,C,-0.5
11/17/23, 7:20:00 AM,C,-0.5
11/17/23, 11:35:00 AM,C,-0.5
11/17/23, 3:50:00 PM,C,-0.5
11/17/23, 8:05:00 PM,C,-0.5
11/18/23, 12:20:00 AM,C,-1
11/18/23, 4:35:00 AM,C,-1.5
11/18/23, 8:50:00 AM,C,-1
11/18/23, 1:05:00 PM,C,-0.5
11/18/23, 5:20:00 PM,C,-0.5
11/18/23, 9:35:00 PM,C,-0.5
11/19/23, 1:50:00 AM,C,-0.5
11/19/23, 6:05:00 AM,C,-0.5
11/19/23, 10:20:00 AM,C,-0.5
11/19/23, 2:35:00 PM,C,-0.5
11/19/23, 6:50:00 PM,C,-0.5
11/19/23, 11:05:00 PM,C,-0.5
11/20/23, 3:20:00 AM,C,-0.5
11/20/23, 7:35:00 AM,C,-0.5
11/20/23, 11:50:00 AM,C,-0.5
11/20/23, 4:05:00 PM,C,-0.5
11/20/23, 8:20:00 PM,C,-0.5
11/21/23, 12:35:00 AM,C,-0.5
11/21/23, 4:50:00 AM,C,-0.5
11/21/23, 9:05:00 AM,C,-0.5
11/21/23, 1:20:00 PM,C,-0.5
11/21/23, 5:35:00 PM,C,-0.5
11/21/23, 9:50:00 PM,C,-1
11/22/23, 2:05:00 AM,C,-1
11/22/23, 6:20:00 AM,C,-1
11/22/23, 10:35:00 AM,C,-0.5
11/22/23, 2:50:00 PM,C,-0.5
11/22/23, 7:05:00 PM,C,-1
11/22/23, 11:20:00 PM,C,-1
11/23/23, 3:35:00 AM,C,-1.5
11/23/23, 7:50:00 AM,C,-1.5
11/23/23, 12:05:00 PM,C,-1
11/23/23, 4:20:00 PM,C,-1
11/23/23, 8:35:00 PM,C,-1.5
11/24/23, 12:50:00 AM,C,-1.5
11/24/23, 5:05:00 AM,C,-1
11/24/23, 9:20:00 AM,C,-1
11/24/23, 1:35:00 PM,C,-1
11/24/23, 5:50:00 PM,C,-1
11/24/23, 10:05:00 PM,C,-1
11/25/23, 2:20:00 AM,C,-1
11/25/23, 6:35:00 AM,C,-1
11/25/23, 10:50:00 AM,C,-1
11/25/23, 3:05:00 PM,C,-1
11/25/23, 7:20:00 PM,C,-2
11/25/23, 11:35:00 PM,C,-2
11/26/23, 3:50:00 AM,C,-2
11/26/23, 8:05:00 AM,C,-2.5
11/26/23, 12:20:00 PM,C,-2
11/26/23, 4:35:00 PM,C,-2.5
11/26/23, 8:50:00 PM,C,-3
11/27/23, 1:05:00 AM,C,-3.5
11/27/23, 5:20:00 AM,C,-4
11/27/23, 9:35:00 AM,C,-4
11/27/23, 1:50:00 PM,C,-3.5
11/27/23, 6:05:00 PM,C,-3.5
11/27/23, 10:20:00 PM,C,-4
11/28/23, 2:35:00 AM,C,-4
11/28/23, 6:50:00 AM,C,-4
11/28/23, 11:05:00 AM,C,-3.5
11/28/23, 3:20:00 PM,C,-3.5
11/28/23, 7:35:00 PM,C,-3.5
11/28/23, 11:50:00 PM,C,-4
11/29/23, 4:05:00 AM,C,-4.5
11/29/23, 8:20:00 AM,C,-4
11/29/23, 12:35:00 PM,C,-3
11/29/23, 4:50:00 PM,C,-3
11/29/23, 9:05:00 PM,C,-3.5
11/30/23, 1:20:00 AM,C,-3.5
11/30/23, 5:35:00 AM,C,-4.5
11/30/23, 9:50:00 AM,C,-4
11/30/23, 2:05:00 PM,C,-3.5
11/30/23, 6:20:00 PM,C,-4
11/30/23, 10:35:00 PM,C,-4
12/1/23, 2:50:00 AM,C,-4
12/1/23, 7:05:00 AM,C,-4
12/1/23, 11:20:00 AM,C,-3.5
12/1/23, 3:35:00 PM,C,-3.5
12/1/23, 7:50:00 PM,C,-3.5
12/2/23, 12:05:00 AM,C,-4
12/2/23, 4:20:00 AM,C,-4
12/2/23, 8:35:00 AM,C,-3.5
12/2/23, 12:50:00 PM,C,-3.5
12/2/23, 5:05:00 PM,C,-5
12/2/23, 9:20:00 PM,C,-5
12/3/23, 1:35:00 AM,C,-5
12/3/23, 5:50:00 AM,C,-4.5
12/3/23, 10:05:00 AM,C,-4.5
12/3/23, 2:20:00 PM,C,-4.5
12/3/23, 6:35:00 PM,C,-5
12/3/23, 10:50:00 PM,C,-4.5
12/4/23, 3:05:00 AM,C,-4
12/4/23, 7:20:00 AM,C,-4
12/4/23, 11:35:00 AM,C,-3.5
12/4/23, 3:50:00 PM,C,-3.5
12/4/23, 8:05:00 PM,C,-3.5
12/5/23, 12:20:00 AM,C,-3.5
12/5/23, 4:35:00 AM,C,-4
12/5/23, 8:50:00 AM,C,-3.5
12/5/23, 1:05:00 PM,C,-3
12/5/23, 5:20:00 PM,C,-3
12/5/23, 9:35:00 PM,C,-2.5
12/6/23, 1:50:00 AM,C,-3
12/6/23, 6:05:00 AM,C,-3
12/6/23, 10:20:00 AM,C,-2.5
12/6/23, 2:35:00 PM,C,-2
12/6/23, 6:50:00 PM,C,-3
12/6/23, 11:05:00 PM,C,-3.5
12/7/23, 3:20:00 AM,C,-3
12/7/23, 7:35:00 AM,C,-3.5
12/7/23, 11:50:00 AM,C,-2.5
12/7/23, 4:05:00 PM,C,-3
12/7/23, 8:20:00 PM,C,-3.5
12/8/23, 12:35:00 AM,C,-4
12/8/23, 4:50:00 AM,C,-4.5
12/8/23, 9:05:00 AM,C,-4.5
