date,site,SouthLower,SouthUpper,NorthUpper,NorthLower,TopUpper,TopLower,snotel_swe,snotel_snow_depth,snotel_tmean
2022-08-20,guanella,9.172916666666667,6.564,3.770257727452264,9.105,6.129,9.175833333333333,0,0,6.9
2022-08-21,guanella,8.662083333333333,5.7585,3.6147050433393875,8.726083333333333,6.060583333333334,8.606916666666667,0,0,5.8
2022-08-22,guanella,8.087250000000001,6.817166666666666,3.797415721060776,8.36725,6.314416666666666,8.357916666666666,0,0,6.6
2022-08-23,guanella,8.959666666666667,8.262416666666667,3.5854834885598907,8.487583333333333,5.994,8.759916666666667,0,0,6.5
2022-08-24,guanella,7.642666666666667,7.319833333333333,3.4860568020410088,7.609166666666667,5.849916666666666,7.4035,0,0,7.6
2022-08-25,guanella,8.673916666666667,8.196,4.244338301658746,8.194416666666667,6.654083333333333,8.456,0,0,7.8
2022-08-26,guanella,8.56175,7.182416666666667,3.905108316356706,8.61025,6.320083333333333,8.660333333333334,0,0,6.6
2022-08-27,guanella,9.581416666666666,8.131083333333335,3.197700762136566,8.663833333333333,5.700166666666666,9.436083333333334,0,0,8.2
2022-08-28,guanella,9.73125,8.661833333333334,4.134824033335991,8.993916666666667,6.644916666666666,9.415666666666667,0,0,8.5
2022-08-29,guanella,10.091833333333334,9.6485,5.2440920228928745,9.488333333333333,7.8261666666666665,9.96875,0,0,10.6
2022-08-30,guanella,11.15925,11.656166666666667,6.0216587770220995,10.827166666666667,8.640916666666667,11.053333333333333,0,0,11.2
2022-08-31,guanella,11.189250000000001,12.016583333333333,6.7572832250341035,10.646333333333333,9.374916666666667,11.382083333333334,0,0,11.2
2022-09-01,guanella,10.175166666666668,10.7745,6.163555718985168,9.569749999999999,8.73175,10.301083333333333,0,0,11.2
2022-09-02,guanella,11.162666666666667,12.072666666666667,7.377566469442587,10.196,10.10425,11.578333333333333,0,0,12.9
2022-09-03,guanella,10.175916666666666,10.64025,5.138281549131153,9.232916666666666,7.567583333333333,9.885166666666667,0,0,7.5
2022-09-04,guanella,9.46875,9.835749999999999,4.6818816608636835,8.886583333333334,7.1285,9.76325,0,0,12.1
2022-09-05,guanella,11.723916666666666,12.478666666666667,7.574510143114781,10.597333333333333,10.241833333333334,12.054166666666667,0,0,13.3
2022-09-06,guanella,12.19525,13.276583333333333,7.882347253462018,11.342833333333333,10.515416666666667,12.877333333333333,0,0,14
2022-09-07,guanella,12.671666666666667,14.064916666666667,7.884229033163552,11.27925,10.548833333333333,12.867083333333333,0,0,13.2
2022-09-08,guanella,11.73325,13.086833333333333,7.548336159639535,10.852166666666667,10.18025,12.5035,0,0,12.9
2022-09-09,guanella,12.455833333333333,13.617916666666666,7.434072152232562,11.127,10.143166666666668,12.907583333333333,0,0,8.8
2022-09-10,guanella,11.736,10.653916666666667,4.870805269369231,10.754916666666666,7.404916666666667,12.464,0,0,5.8
2022-09-11,guanella,10.293833333333334,11.073833333333335,4.653584523271621,8.380666666666666,7.381,10.869583333333335,0,0,9
2022-09-12,guanella,11.179,12.070166666666667,5.496034748224321,9.284749999999999,8.269499999999999,12.1115,0,0,8.7
2022-09-13,guanella,9.84125,10.1725,4.384786648628579,8.00475,7.004333333333333,9.730166666666667,0,0,8.9
2022-09-14,guanella,9.006916666666667,7.647083333333334,3.3369527421811713,7.9510000000000005,5.87275,8.727500000000001,0,0,5.8
2022-09-15,guanella,7.4857499999999995,5.43525,1.1521286951682046,6.60125,3.6687499999999997,7.2485,0,0,3.6
2022-09-16,guanella,7.302833333333334,6.218583333333333,1.398048257081729,5.940333333333333,3.9790833333333335,6.9013333333333335,0,0,5.9
2022-09-17,guanella,7.446666666666666,6.134666666666667,2.084759976755737,6.180416666666667,4.725,7.4315,0,0,6.5
2022-09-18,guanella,8.426916666666667,7.879,3.620864646151023,7.119,6.363916666666667,9.117083333333333,0,0,9.9
2022-09-19,guanella,9.399083333333333,10.243500000000001,4.763102759685881,7.435666666666667,7.4755,9.480583333333334,0,0,9.5
2022-09-20,guanella,9.162166666666666,9.912666666666667,4.953620756704896,7.955333333333333,7.684916666666666,10.181333333333333,0,0,10
2022-09-21,guanella,9.252833333333333,8.774833333333333,4.754237348844373,8.815333333333333,7.4635,9.775666666666666,0,0,6.8
2022-09-22,guanella,8.23475,5.94725,2.4075557502862526,7.681916666666667,5.006833333333334,8.309333333333333,0,0,5.5
2022-09-23,guanella,7.450916666666666,5.125166666666667,0.27633574024555985,6.124916666666667,2.7309166666666664,7.324333333333334,0,0,5.9
2022-09-24,guanella,6.902083333333333,5.915916666666667,0.4799924658836575,4.926916666666667,3.036083333333333,7.163166666666667,0,0,5.8
2022-09-25,guanella,8.107166666666666,8.157416666666666,1.8382756247616103,5.572666666666667,4.519833333333334,8.215416666666666,0,0,5.5
2022-09-26,guanella,9.100333333333333,10.125083333333333,3.835810013867746,6.6075,6.693083333333333,9.336416666666667,0,0,8.7
2022-09-27,guanella,7.808833333333333,8.360583333333333,2.4278280185818235,5.5761666666666665,5.090583333333333,7.6883333333333335,0,0,4.8
2022-09-28,guanella,7.336333333333333,6.859583333333333,1.5440789997032485,5.460083333333333,4.159833333333333,6.93425,0,0,6
2022-09-29,guanella,8.078666666666667,7.661666666666667,2.2989684927160456,6.273333333333333,4.9945,7.929749999999999,0,0,6.6
2022-09-30,guanella,6.034416666666667,5.434166666666667,0.4550046012074803,4.547666666666666,3.0084166666666663,5.831666666666667,0,0,3.4
2022-10-01,guanella,4.579,2.5650833333333334,-1.1065339581687508,3.277,1.39225,4.0521666666666665,0,0,1.4
2022-10-02,guanella,3.3796666666666666,2.0906666666666665,-1.663185507727047,2.2264166666666667,0.86975,2.9200000000000004,0,0,2.4
2022-10-03,guanella,4.996,3.2993333333333332,-1.2606052162032424,3.104833333333333,1.2983333333333333,4.597416666666667,0,0,3.5
2022-10-04,guanella,5.6219166666666665,4.287916666666667,-0.9823579761502229,3.3631666666666664,1.6126666666666665,4.9835,0,0,2.3
2022-10-05,guanella,4.45775,3.2761666666666667,-0.7647045373940214,2.7668333333333335,1.9177499999999998,4.0415,0,0,2.4
2022-10-06,guanella,5.277333333333333,3.3209166666666667,-1.1498690036864159,3.716666666666667,1.4415000000000002,5.341166666666667,0,0,2.3
2022-10-07,guanella,5.19625,3.38275,-1.420587660661948,3.387,1.161,4.873333333333333,0,0,2.6
2022-10-08,guanella,5.5110833333333336,4.437250000000001,-1.6092049324870854,3.388,0.9771666666666666,5.409416666666667,0,0,1.8
2022-10-09,guanella,4.8825,4.638583333333333,-1.9058024970599203,2.0506666666666664,0.7029166666666664,4.746666666666666,0,0,2.2
