date,site,SouthEast,SouthWest,NorthEast,NorthWest,TopEast,TopWest,snotel_swe,snotel_snow_depth,snotel_tmean
2022-08-24,jones,11.0235,10.791333333333334,9.0935,9.140583333333334,10.868416666666667,10.732916666666666,0,0,9.8
2022-08-25,jones,8.607166666666666,8.963,7.835833333333333,7.972666666666667,9.971083333333333,9.078916666666666,0,0,8.4
2022-08-26,jones,8.00575,7.743666666666666,7.519416666666666,6.960916666666667,8.932416666666667,7.86725,0,0,6.2
2022-08-27,jones,8.0585,8.612916666666667,7.800833333333333,7.522083333333333,9.084833333333334,8.44125,0,0,7.5
2022-08-28,jones,8.30175,8.368500000000001,7.313666666666666,7.833916666666667,9.104916666666666,8.661166666666666,0,0,8.9
2022-08-29,jones,10.534166666666666,10.615333333333332,8.427083333333332,9.525833333333333,10.787166666666666,10.694083333333333,0,0,10
2022-08-30,jones,13.560916666666666,13.696083333333334,10.012583333333334,11.89275,13.237,13.230166666666666,0,0,12.4
2022-08-31,jones,13.388416666666666,13.122416666666666,9.919666666666666,10.77125,12.894166666666667,13.242833333333333,0,0,11.8
2022-09-01,jones,12.173333333333334,11.669583333333334,8.74825,9.529583333333333,11.746333333333334,12.116416666666668,5.1,0,12
2022-09-02,jones,14.245916666666666,13.751,9.692,11.987083333333334,13.083416666666666,13.733833333333333,5.1,0,12.8
2022-09-03,jones,11.762166666666666,12.104750000000001,9.315,10.506083333333333,11.878166666666667,11.832916666666666,5.1,0,10.9
2022-09-04,jones,14.084166666666667,13.347166666666666,9.256333333333334,11.491833333333334,12.733833333333333,13.385833333333332,5.1,0,13.6
2022-09-05,jones,16.64575,15.987,10.535666666666666,14.160583333333333,14.721333333333334,15.991249999999999,5.1,0,14.7
2022-09-06,jones,16.62258333333333,16.355583333333332,11.102333333333334,14.21775,14.93275,16.31083333333333,2.5,0,14.6
2022-09-07,jones,16.32775,16.73075,10.78125,14.198166666666665,14.310333333333334,15.811583333333333,2.5,0,15
2022-09-08,jones,15.405083333333334,16.079,11.073333333333334,13.785166666666667,14.428916666666666,15.586833333333335,2.5,0,13.6
2022-09-09,jones,13.271333333333335,14.224083333333333,10.203583333333333,12.48525,12.798166666666667,13.412416666666667,5.1,0,8.7
2022-09-10,jones,11.265916666666667,12.414250000000001,9.443333333333333,10.1495,11.431333333333333,11.22025,5.1,0,5.6
2022-09-11,jones,11.394166666666667,11.79775,7.3975,8.780166666666666,11.00125,10.976750000000001,7.6,0,8.2
2022-09-12,jones,12.601333333333333,12.755749999999999,7.529,9.087333333333333,11.562999999999999,11.920583333333333,7.6,0,9.2
2022-09-13,jones,10.24325,10.691166666666666,7.007833333333333,8.222083333333334,9.799583333333333,10.1465,5.1,0,8.9
2022-09-14,jones,8.453416666666666,8.701583333333334,7.4005,7.178916666666667,8.893916666666666,8.469833333333334,7.6,0,4.8
2022-09-15,jones,4.9439166666666665,4.932416666666667,4.671,3.7543333333333333,6.074416666666667,4.8068333333333335,10.2,0,3.8
2022-09-16,jones,4.815083333333333,5.07325,3.9426666666666668,4.010166666666667,5.310416666666667,4.9470833333333335,10.2,0,4.6
2022-09-17,jones,6.921333333333333,7.086416666666667,5.0224166666666665,5.989333333333334,7.077416666666667,6.845583333333333,10.2,0,6.4
2022-09-18,jones,9.351833333333333,9.077333333333334,5.630416666666667,7.1535,8.7695,9.137916666666666,10.2,0,9.2
2022-09-19,jones,10.30575,10.055333333333333,5.974583333333333,7.451083333333334,9.5175,10.164916666666667,7.6,0,9.6
2022-09-20,jones,8.981333333333334,8.703916666666666,5.938,6.970666666666666,8.702166666666667,9.177,10.2,0,10
2022-09-21,jones,8.171916666666666,8.091916666666666,6.8773333333333335,7.135916666666667,8.094666666666667,8.362416666666666,7.6,0,6.4
2022-09-22,jones,6.334333333333333,6.4185,6.109583333333333,5.842666666666666,6.734416666666666,6.02225,10.2,0,5.1
2022-09-23,jones,6.0465,6.282916666666667,4.257,4.7162500000000005,6.65425,5.593833333333333,10.2,0,4.2
2022-09-24,jones,7.240000000000001,6.769666666666667,2.8760833333333333,3.79975,6.860916666666666,6.33825,10.2,0,4.7
2022-09-25,jones,8.614416666666667,8.149000000000001,3.3134166666666665,4.656916666666667,7.677,7.830500000000001,10.2,0,6.1
2022-09-26,jones,10.3235,9.801666666666666,4.2251666666666665,5.764583333333333,9.080583333333333,9.527916666666666,10.2,0,7.2
2022-09-27,jones,8.775916666666667,8.227666666666666,4.113583333333334,4.8305,7.978083333333333,8.117333333333333,7.6,0,5.9
2022-09-28,jones,8.117333333333335,7.571833333333333,4.113333333333333,4.904416666666666,7.34175,7.716666666666667,10.2,0,7
2022-09-29,jones,7.6075,7.49225,4.515000000000001,5.2236666666666665,6.99225,7.289166666666667,10.2,0,6
2022-09-30,jones,5.14775,4.98825,3.3335,3.1885000000000003,5.561833333333333,4.836166666666667,10.2,0,2.9
2022-10-01,jones,3.53375,2.3995,2.1585833333333335,1.2840833333333332,3.5578333333333334,3.7735833333333333,0,0,1.1
2022-10-02,jones,3.079833333333333,2.333416666666667,1.5555833333333333,0.9662499999999999,3.3794166666666667,2.987,12.7,30,2.5
2022-10-03,jones,4.12975,4.2820833333333335,1.9625000000000001,0.9185833333333334,4.367416666666667,4.1235,10.2,30,1.5
2022-10-04,jones,4.04,4.26175,2.2856666666666667,1.7359166666666668,4.315833333333334,3.9484166666666662,10.2,30,1.3
2022-10-05,jones,4.867333333333334,4.932833333333334,2.0701666666666667,2.315916666666667,4.632083333333333,4.647083333333333,0,0,2.2
2022-10-06,jones,4.82475,4.86425,2.16475,2.155666666666667,4.4265,4.805416666666667,0,0,2.6
