date,site,SouthLower,SouthUpper,NorthUpper,NorthLower,TopUpper,TopLower,snotel_swe,snotel_snow_depth,snotel_tmean
2022-09-18,niwot,14.399000000000001,18.29222222222222,10.434083333333334,9.910043248545943,10.637833333333333,20.705222222222222,0,0,9.4
2022-09-19,niwot,16.342624999999998,11.8125,11.728666666666667,10.724326286134495,11.527333333333335,14.97675,0,0,12.6
2022-09-20,niwot,16.934666666666665,13.203583333333333,12.317333333333334,11.505036053789862,12.388583333333333,15.712833333333332,0,0,10.8
2022-09-21,niwot,13.730375,11.763833333333334,10.075583333333334,9.522117891702973,10.436333333333334,12.992583333333334,0,0,6.1
2022-09-22,niwot,10.302083333333334,8.9575,8.017333333333333,7.5478632683791,8.2585,10.056916666666666,0,0,7.1
2022-09-23,niwot,9.149375000000001,6.987833333333334,6.175833333333333,5.474703350003946,6.287916666666667,8.64925,0,0,6.6
2022-09-24,niwot,10.685166666666666,8.67825,7.557333333333333,6.919545605892434,7.676749999999999,10.5875,0,0,6.8
2022-09-25,niwot,12.38025,10.19275,8.49775,7.986295219315078,8.717,12.3315,0,0,4.2
2022-09-26,niwot,13.823,11.534,10.008333333333333,9.37769747811495,10.109666666666667,13.672916666666667,0,0,6.8
2022-09-27,niwot,12.862666666666666,10.887833333333333,9.1135,8.433793298312192,9.274333333333333,12.784916666666666,0,0,5.6
2022-09-28,niwot,13.345666666666668,10.361666666666666,8.8115,8.329956096705754,9.162833333333333,12.656333333333334,0,0,8.5
2022-09-29,niwot,13.796458333333334,10.935916666666666,9.828583333333333,8.711982666307275,9.585833333333333,13.1225,0,0,8.8
2022-09-30,niwot,10.535458333333333,8.91025,7.623583333333333,6.510051023477725,7.395583333333334,10.413333333333334,0,0,5.6
2022-10-01,niwot,7.829583333333333,6.376916666666666,4.8075,4.171230573316333,4.991083333333333,8.208,0,0,2.4
2022-10-02,niwot,6.116625,5.31025,4.309666666666667,3.786227174045333,4.547083333333333,6.373749999999999,0,0,4.2
2022-10-03,niwot,8.996541666666667,7.4275,5.81975,5.441034460686918,6.223166666666666,9.093583333333333,0,0,4.9
2022-10-04,niwot,9.404083333333332,7.2135,4.870166666666667,4.583069885447852,5.384166666666666,8.834666666666667,0,0,2.9
2022-10-05,niwot,7.326625,5.755333333333334,2.9635833333333332,3.1242602677613682,3.8836666666666666,7.1273333333333335,0,0,1.4
2022-10-06,niwot,8.403916666666667,6.36175,4.264083333333334,4.048189905903708,4.817333333333333,8.37275,0,0,2
