1-Wire/iButton Part Number: DS1921G-F5,,
1-Wire/iButton Registration Number: 100000006043E421,,
Is Mission Active?  true,,
Mission Start:  Thu Sep 15 11:33:00 MDT 2022,,
Sample Rate:  Every 255 minute(s),,
Number of Mission Samples:  2135,,
Total Samples:  2135,,
Roll Over Enabled?  false,,
Roll Over Occurred?  Roll over has occurred,,
Active Alarms:  None fired,,
Next Clock Alarm At:  Disabled,,
High Temperature Alarm:  85 �C,,
Low Temperature Alarm:  -40 �C,,
,,
Date/Time,Unit,Value
9/15/2022 11:33,C,27
9/15/2022 15:48,C,20.5
9/15/2022 20:03,C,21
9/16/2022 0:18,C,21
9/16/2022 4:33,C,19.5
9/16/2022 8:48,C,19
9/16/2022 13:03,C,14.5
9/16/2022 17:18,C,12
9/16/2022 21:33,C,17
9/17/2022 1:48,C,17
9/17/2022 6:03,C,17.5
9/17/2022 10:18,C,17.5
9/17/2022 14:33,C,18.5
9/17/2022 18:48,C,19
9/17/2022 23:03,C,21.5
9/18/2022 3:18,C,20
9/18/2022 7:33,C,19
9/18/2022 11:48,C,26
9/18/2022 16:03,C,23.5
9/18/2022 20:18,C,12
9/19/2022 0:33,C,7.5
9/19/2022 4:48,C,6
9/19/2022 9:03,C,8.5
9/19/2022 13:18,C,20
9/19/2022 17:33,C,20.5
9/19/2022 21:48,C,10.5
9/20/2022 2:03,C,8
9/20/2022 6:18,C,6
9/20/2022 10:33,C,14.5
9/20/2022 14:48,C,24.5
9/20/2022 19:03,C,14.5
9/20/2022 23:18,C,10.5
9/21/2022 3:33,C,8.5
9/21/2022 7:48,C,6.5
9/21/2022 12:03,C,14
9/21/2022 16:18,C,11
9/21/2022 20:33,C,8
9/22/2022 0:48,C,7.5
9/22/2022 5:03,C,6
9/22/2022 9:18,C,7
9/22/2022 13:33,C,10.5
9/22/2022 17:48,C,10.5
9/22/2022 22:03,C,5.5
9/23/2022 2:18,C,3.5
9/23/2022 6:33,C,2.5
9/23/2022 10:48,C,5.5
9/23/2022 15:03,C,13.5
9/23/2022 19:18,C,8
9/23/2022 23:33,C,3.5
9/24/2022 3:48,C,2.5
9/24/2022 8:03,C,2
9/24/2022 12:18,C,13.5
9/24/2022 16:33,C,18.5
9/24/2022 20:48,C,8
9/25/2022 1:03,C,4
9/25/2022 5:18,C,2
9/25/2022 9:33,C,6.5
9/25/2022 13:48,C,20
9/25/2022 18:03,C,16.5
9/25/2022 22:18,C,7
9/26/2022 2:33,C,5
9/26/2022 6:48,C,4
9/26/2022 11:03,C,13
9/26/2022 15:18,C,23
9/26/2022 19:33,C,13
9/26/2022 23:48,C,7
9/27/2022 4:03,C,4.5
9/27/2022 8:18,C,5
9/27/2022 12:33,C,16
9/27/2022 16:48,C,12.5
9/27/2022 21:03,C,7.5
9/28/2022 1:18,C,5
9/28/2022 5:33,C,4
9/28/2022 9:48,C,8
9/28/2022 14:03,C,19
9/28/2022 18:18,C,16
9/28/2022 22:33,C,7.5
9/29/2022 2:48,C,6.5
9/29/2022 7:03,C,6
9/29/2022 11:18,C,11
9/29/2022 15:33,C,17.5
9/29/2022 19:48,C,10
9/30/2022 0:03,C,6.5
9/30/2022 4:18,C,5
9/30/2022 8:33,C,5.5
9/30/2022 12:48,C,12
9/30/2022 17:03,C,5.5
9/30/2022 21:18,C,4
10/1/2022 1:33,C,3
10/1/2022 5:48,C,2.5
10/1/2022 10:03,C,6.5
10/1/2022 14:18,C,11
10/1/2022 18:33,C,5
10/1/2022 22:48,C,2
10/2/2022 3:03,C,1.5
10/2/2022 7:18,C,1.5
10/2/2022 11:33,C,5.5
10/2/2022 15:48,C,10.5
10/2/2022 20:03,C,5
