1-Wire/iButton Part Number: DS1921G-F5,,
1-Wire/iButton Registration Number: 1500000060158E21,,
Is Mission Active?  false,,
Mission Start:  Sun Jul 24 20:15:00 MDT 2022,,
Sample Rate:  Every 255 minute(s),,
Number of Mission Samples:  2433,,
Total Samples:  2433,,
Roll Over Enabled?  false,,
Roll Over Occurred?  Roll over has occurred,,
Active Alarms:  None fired,,
Next Clock Alarm At:  Disabled,,
High Temperature Alarm:  85 �C,,
Low Temperature Alarm:  -40 �C,,
,,
Date/Time,Unit,Value
7/24/22 20:15,C,27
7/25/22 0:30,C,21
7/25/22 4:45,C,20
7/25/22 9:00,C,16
7/25/22 13:15,C,23
7/25/22 17:30,C,22
7/25/22 21:45,C,21
7/26/22 2:00,C,21.5
7/26/22 6:15,C,19.5
7/26/22 10:30,C,20.5
7/26/22 14:45,C,20
7/26/22 19:00,C,20
7/26/22 23:15,C,20.5
7/27/22 3:30,C,20
7/27/22 7:45,C,19.5
7/27/22 12:00,C,23.5
7/27/22 16:15,C,23
7/27/22 20:30,C,23
7/28/22 0:45,C,22.5
7/28/22 5:00,C,22.5
7/28/22 9:15,C,22.5
7/28/22 13:30,C,22.5
7/28/22 17:45,C,22.5
7/28/22 22:00,C,22.5
7/29/22 2:15,C,22
7/29/22 6:30,C,22
7/29/22 10:45,C,23
7/29/22 15:00,C,23
7/29/22 19:15,C,23
7/29/22 23:30,C,22.5
7/30/22 3:45,C,22
7/30/22 8:00,C,23
7/30/22 12:15,C,23
7/30/22 16:30,C,23
7/30/22 20:45,C,22.5
7/31/22 1:00,C,22.5
7/31/22 5:15,C,22.5
7/31/22 9:30,C,23
7/31/22 13:45,C,23
7/31/22 18:00,C,23
7/31/22 22:15,C,23
8/1/22 2:30,C,22.5
8/1/22 6:45,C,22.5
8/1/22 11:00,C,23.5
8/1/22 15:15,C,23
8/1/22 19:30,C,23
8/1/22 23:45,C,22.5
8/2/22 4:00,C,22.5
8/2/22 8:15,C,23
8/2/22 12:30,C,23
8/2/22 16:45,C,23
8/2/22 21:00,C,23
8/3/22 1:15,C,23
8/3/22 5:30,C,22.5
8/3/22 9:45,C,23
8/3/22 14:00,C,23
8/3/22 18:15,C,23
8/3/22 22:30,C,23
8/4/22 2:45,C,22.5
8/4/22 7:00,C,22.5
8/4/22 11:15,C,23.5
8/4/22 15:30,C,23
8/4/22 19:45,C,23
8/5/22 0:00,C,23
8/5/22 4:15,C,23
8/5/22 8:30,C,23.5
8/5/22 12:45,C,23.5
8/5/22 17:00,C,23
8/5/22 21:15,C,23
8/6/22 1:30,C,23
8/6/22 5:45,C,22.5
8/6/22 10:00,C,23.5
8/6/22 14:15,C,23
8/6/22 18:30,C,23
8/6/22 22:45,C,23
8/7/22 3:00,C,22.5
8/7/22 7:15,C,22.5
8/7/22 11:30,C,23.5
8/7/22 15:45,C,23
8/7/22 20:00,C,23
8/8/22 0:15,C,22.5
8/8/22 4:30,C,22.5
8/8/22 8:45,C,23
8/8/22 13:00,C,23
8/8/22 17:15,C,23
8/8/22 21:30,C,23
8/9/22 1:45,C,23
8/9/22 6:00,C,23
8/9/22 10:15,C,23.5
8/9/22 14:30,C,23.5
8/9/22 18:45,C,23
8/9/22 23:00,C,23
8/10/22 3:15,C,23
8/10/22 7:30,C,23
8/10/22 11:45,C,23.5
8/10/22 16:00,C,23
8/10/22 20:15,C,23
8/11/22 0:30,C,23
8/11/22 4:45,C,22.5
8/11/22 9:00,C,23.5
8/11/22 13:15,C,23.5
8/11/22 17:30,C,23.5
8/11/22 21:45,C,24
8/12/22 2:00,C,23
8/12/22 6:15,C,22.5
8/12/22 10:30,C,23.5
8/12/22 14:45,C,23
8/12/22 19:00,C,23
8/12/22 23:15,C,23
8/13/22 3:30,C,23
8/13/22 7:45,C,23
8/13/22 12:00,C,23.5
8/13/22 16:15,C,25
8/13/22 20:30,C,31
8/14/22 0:45,C,27.5
8/14/22 5:00,C,24
8/14/22 9:15,C,22
8/14/22 13:30,C,24
8/14/22 17:45,C,24.5
8/14/22 22:00,C,23
8/15/22 2:15,C,20.5
8/15/22 6:30,C,18
8/15/22 10:45,C,16.5
8/15/22 15:00,C,19
8/15/22 19:15,C,18.5
8/15/22 23:30,C,16.5
8/16/22 3:45,C,14.5
8/16/22 8:00,C,13.5
8/16/22 12:15,C,14
8/16/22 16:30,C,16.5
8/16/22 20:45,C,15.5
8/17/22 1:00,C,14
8/17/22 5:15,C,12
8/17/22 9:30,C,11.5
8/17/22 13:45,C,14
8/17/22 18:00,C,15.5
8/17/22 22:15,C,17
8/18/22 2:30,C,14
8/18/22 6:45,C,10.5
8/18/22 11:00,C,10
8/18/22 15:15,C,11.5
8/18/22 19:30,C,12.5
8/18/22 23:45,C,13
8/19/22 4:00,C,11.5
8/19/22 8:15,C,10
8/19/22 12:30,C,11
8/19/22 16:45,C,14.5
8/19/22 21:00,C,18.5
8/20/22 1:15,C,20
8/20/22 5:30,C,20
8/20/22 9:45,C,19
8/20/22 14:00,C,19.5
8/20/22 18:15,C,22
8/20/22 22:30,C,22
8/21/22 2:45,C,21
8/21/22 7:00,C,19.5
8/21/22 11:15,C,18.5
8/21/22 15:30,C,20.5
8/21/22 19:45,C,23
8/22/22 0:00,C,23
8/22/22 4:15,C,22
8/22/22 8:30,C,21
8/22/22 12:45,C,21
8/22/22 17:00,C,20
8/22/22 21:15,C,18
8/23/22 1:30,C,14.5
8/23/22 5:45,C,11.5
8/23/22 10:00,C,9
8/23/22 14:15,C,10
8/23/22 18:30,C,14.5
8/23/22 22:45,C,20
8/24/22 3:00,C,22
8/24/22 7:15,C,22
8/24/22 11:30,C,21
8/24/22 15:45,C,21.5
8/24/22 20:00,C,24.5
8/25/22 0:15,C,26.5
8/25/22 4:30,C,26
8/25/22 8:45,C,24
8/25/22 13:00,C,23
8/25/22 17:15,C,23.5
8/25/22 21:30,C,24
8/26/22 1:45,C,23.5
8/26/22 6:00,C,22.5
8/26/22 10:15,C,21.5
8/26/22 14:30,C,22
8/26/22 18:45,C,24.5
8/26/22 23:00,C,24.5
8/27/22 3:15,C,23.5
8/27/22 7:30,C,21.5
8/27/22 11:45,C,21
8/27/22 16:00,C,23.5
8/27/22 20:15,C,26
8/28/22 0:30,C,26.5
8/28/22 4:45,C,24.5
8/28/22 9:00,C,22
8/28/22 13:15,C,23
8/28/22 17:30,C,23.5
8/28/22 21:45,C,23
8/29/22 2:00,C,21
8/29/22 6:15,C,17.5
8/29/22 10:30,C,13
8/29/22 14:45,C,13.5
8/29/22 19:00,C,15.5
8/29/22 23:15,C,15.5
8/30/22 3:30,C,13.5
8/30/22 7:45,C,11.5
8/30/22 12:00,C,15
8/30/22 16:15,C,22
8/30/22 20:30,C,20
8/31/22 0:45,C,18
8/31/22 5:00,C,15.5
8/31/22 9:15,C,13.5
8/31/22 13:30,C,17
8/31/22 17:45,C,21.5
8/31/22 22:00,C,23.5
9/1/22 2:15,C,23
9/1/22 6:30,C,21
9/1/22 10:45,C,20
9/1/22 15:00,C,22.5
9/1/22 19:15,C,25.5
9/1/22 23:30,C,25.5
9/2/22 3:45,C,24.5
9/2/22 8:00,C,23.5
9/2/22 12:15,C,24
9/2/22 16:30,C,26.5
9/2/22 20:45,C,28.5
9/3/22 1:00,C,27.5
9/3/22 5:15,C,25.5
9/3/22 9:30,C,23
9/3/22 13:45,C,24
9/3/22 18:00,C,27
9/3/22 22:15,C,28
9/4/22 2:30,C,26
9/4/22 6:45,C,23.5
9/4/22 11:00,C,22.5
9/4/22 15:15,C,25
9/4/22 19:30,C,29
9/4/22 23:45,C,29.5
9/5/22 4:00,C,28
9/5/22 8:15,C,26
9/5/22 12:30,C,27.5
9/5/22 16:45,C,30.5
9/5/22 21:00,C,32
9/6/22 1:15,C,30.5
9/6/22 5:30,C,27.5
9/6/22 9:45,C,25
9/6/22 14:00,C,27
9/6/22 18:15,C,31
9/6/22 22:30,C,31.5
9/7/22 2:45,C,29
9/7/22 7:00,C,26
9/7/22 11:15,C,40
9/7/22 15:30,C,23.5
9/7/22 19:45,C,16
9/8/22 0:00,C,11.5
9/8/22 4:15,C,10
9/8/22 8:30,C,11.5
9/8/22 12:45,C,24
9/8/22 17:00,C,26
9/8/22 21:15,C,16.5
9/9/22 1:30,C,12.5
9/9/22 5:45,C,9.5
9/9/22 10:00,C,15
9/9/22 14:15,C,23
9/9/22 18:30,C,14
9/9/22 22:45,C,9.5
9/10/22 3:00,C,8
9/10/22 7:15,C,7
9/10/22 11:30,C,13
9/10/22 15:45,C,13.5
9/10/22 20:00,C,9.5
9/11/22 0:15,C,5.5
9/11/22 4:30,C,3
9/11/22 8:45,C,3
9/11/22 13:00,C,17
9/11/22 17:15,C,18.5
9/11/22 21:30,C,10
9/12/22 1:45,C,6.5
9/12/22 6:00,C,5.5
9/12/22 10:15,C,11
9/12/22 14:30,C,21
9/12/22 18:45,C,15.5
9/12/22 23:00,C,9.5
9/13/22 3:15,C,6.5
9/13/22 7:30,C,6
9/13/22 11:45,C,14.5
9/13/22 16:00,C,17.5
9/13/22 20:15,C,11.5
9/14/22 0:30,C,9
