"Plot Title: 20365583"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20365583, SEN S/N: 20365583)","Coupler Detached (LGR S/N: 20365583)","Bad Battery (LGR S/N: 20365583)","Good Battery (LGR S/N: 20365583)","Coupler Attached (LGR S/N: 20365583)","Host Connected (LGR S/N: 20365583)","Stopped (LGR S/N: 20365583)","End Of File (LGR S/N: 20365583)"
108,09/26/22 04:21:41 PM,21.187,,,,,,,
109,09/26/22 06:21:41 PM,16.618,,,,,,,
110,09/26/22 08:21:41 PM,12.013,,,,,,,
111,09/26/22 10:21:41 PM,9.768,,,,,,,
112,09/27/22 12:21:41 AM,7.983,,,,,,,
113,09/27/22 02:21:41 AM,6.978,,,,,,,
114,09/27/22 04:21:41 AM,6.166,,,,,,,
115,09/27/22 06:21:41 AM,5.244,,,,,,,
116,09/27/22 08:21:41 AM,6.978,,,,,,,
117,09/27/22 10:21:41 AM,11.819,,,,,,,
118,09/27/22 12:21:41 PM,15.664,,,,,,,
119,09/27/22 02:21:41 PM,16.523,,,,,,,
120,09/27/22 04:21:41 PM,14.900,,,,,,,
121,09/27/22 06:21:41 PM,11.334,,,,,,,
122,09/27/22 08:21:41 PM,9.472,,,,,,,
123,09/27/22 10:21:41 PM,7.983,,,,,,,
124,09/28/22 12:21:41 AM,7.179,,,,,,,
125,09/28/22 02:21:41 AM,5.757,,,,,,,
126,09/28/22 04:21:41 AM,5.347,,,,,,,
127,09/28/22 06:21:41 AM,4.727,,,,,,,
128,09/28/22 08:21:41 AM,5.450,,,,,,,
129,09/28/22 10:21:41 AM,11.528,,,,,,,
130,09/28/22 12:21:41 PM,16.523,,,,,,,
131,09/28/22 02:21:41 PM,19.853,,,,,,,
132,09/28/22 04:21:41 PM,19.187,,,,,,,
133,09/28/22 06:21:41 PM,16.618,,,,,,,
134,09/28/22 08:21:41 PM,11.334,,,,,,,
135,09/28/22 10:21:41 PM,9.176,,,,,,,
136,09/29/22 12:21:41 AM,8.282,,,,,,,
137,09/29/22 02:21:41 AM,7.682,,,,,,,
138,09/29/22 04:21:41 AM,7.381,,,,,,,
139,09/29/22 06:21:41 AM,7.280,,,,,,,
140,09/29/22 08:21:41 AM,7.381,,,,,,,
141,09/29/22 10:21:41 AM,10.161,,,,,,,
142,09/29/22 12:21:41 PM,13.654,,,,,,,
143,09/29/22 02:21:41 PM,16.618,,,,,,,
144,09/29/22 04:21:41 PM,15.664,,,,,,,
145,09/29/22 06:21:41 PM,12.497,,,,,,,
146,09/29/22 08:21:41 PM,10.063,,,,,,,
147,09/29/22 10:21:41 PM,8.779,,,,,,,
148,09/30/22 12:21:41 AM,7.582,,,,,,,
149,09/30/22 02:21:41 AM,6.573,,,,,,,
150,09/30/22 04:21:41 AM,6.064,,,,,,,
151,09/30/22 06:21:41 AM,6.064,,,,,,,
152,09/30/22 08:21:41 AM,6.370,,,,,,,
153,09/30/22 10:21:41 AM,9.373,,,,,,,
154,09/30/22 12:21:41 PM,11.334,,,,,,,
155,09/30/22 02:21:41 PM,13.942,,,,,,,
156,09/30/22 04:21:41 PM,8.282,,,,,,,
157,09/30/22 06:21:41 PM,7.280,,,,,,,
158,09/30/22 08:21:41 PM,6.268,,,,,,,
159,09/30/22 10:21:41 PM,4.934,,,,,,,
160,10/01/22 12:21:41 AM,4.415,,,,,,,
161,10/01/22 02:21:41 AM,3.893,,,,,,,
162,10/01/22 04:21:41 AM,3.788,,,,,,,
163,10/01/22 06:21:41 AM,3.155,,,,,,,
164,10/01/22 08:21:41 AM,2.837,,,,,,,
165,10/01/22 10:21:41 AM,8.082,,,,,,,
166,10/01/22 12:21:41 PM,12.690,,,,,,,
167,10/01/22 02:21:41 PM,12.304,,,,,,,
168,10/01/22 04:21:41 PM,6.877,,,,,,,
169,10/01/22 06:21:41 PM,6.064,,,,,,,
170,10/01/22 08:21:41 PM,4.519,,,,,,,
171,10/01/22 10:21:41 PM,3.367,,,,,,,
172,10/02/22 12:21:41 AM,2.837,,,,,,,
173,10/02/22 02:21:41 AM,2.624,,,,,,,
174,10/02/22 04:21:41 AM,2.624,,,,,,,
175,10/02/22 06:21:41 AM,2.624,,,,,,,
176,10/02/22 08:21:41 AM,2.837,,,,,,,
177,10/02/22 10:21:41 AM,4.207,,,,,,,
