pop,tr,plantID,year,area,log_size,surv,log_size_t0,growth
NorthEast,1,1000,2023,226.98006922186258,5.4248622128419415,1,5.5360878479521665,-0.11122563511022499
NorthEast,1,1000,2024,328.29643230013335,5.7939169572542655,1,5.4248622128419415,0.369054744412324
NorthEast,1,1000,2025,293.7389131106456,5.682691322144041,1,5.7939169572542655,-0.1112256351102241
NorthEast,1,1001,2024,197.92033717615698,5.2878646122409325,1,5.213756640087211,0.07410797215372167
NorthEast,1,1001,2025,241.90263432641405,5.488535307703084,1,5.2878646122409325,0.20067069546215155
NorthEast,1,1002,2023,56.548667764616276,4.0351016437455645,1,4.140462159403391,-0.10536051565782678
NorthEast,1,1002,2024,112.31193736583512,4.721280154989417,1,4.0351016437455645,0.6861785112438525
NorthEast,1,1002,2025,120.95131716320704,4.795388127143139,1,4.721280154989417,0.07410797215372167
NorthEast,1,1003,2023,188.49555921538757,5.2390744480715,1,5.17008157658455,0.06899287148695077
NorthEast,1,1003,2024,362.85395148962107,5.894000415811249,1,5.2390744480715,0.6549259677397483
NorthEast,1,1003,2025,328.29643230013335,5.7939169572542655,1,5.894000415811249,-0.1000834585569832
NorthEast,1,1004,2023,175.92918860102841,5.17008157658455,1,4.95139237561972,0.21868920096483002
NorthEast,1,1004,2024,238.76104167282426,5.475463226135731,1,5.17008157658455,0.3053816495511814
NorthEast,1,1004,2025,268.6061718819273,5.593246261792115,1,5.475463226135731,0.11778303565638382
NorthEast,1,1005,2024,142.94246573833559,4.962442211806305,1,4.0351016437455645,0.9273405680607407
NorthEast,1,1005,2025,164.93361431346412,5.1055430554469785,1,4.962442211806305,0.14310084364067333
NorthEast,1,1006,2023,15.707963267948966,2.7541677982835004,1,2.97731134959771,-0.2231435513142097
NorthEast,1,1006,2024,49.480084294039244,3.901570251121042,1,2.7541677982835004,1.1474024528375417
NorthEast,1,1006,2025,35.34291735288517,3.565098014499829,1,3.901570251121042,-0.33647223662121295
NorthEast,1,1007,2023,226.1946710584651,5.421396004865455,1,5.421396004865455,0
NorthEast,1,1007,2024,163.28427817032951,5.0954927195934765,1,5.421396004865455,-0.32590328527197876
NorthEast,1,1007,2025,178.83516180559897,5.186464497799204,1,5.0954927195934765,0.0909717782057271
