pop,tr,plantID,year,area,log_size,surv,log_size_t0,growth
NorthLower,1,1,2023,121.21769079200153,4.797588026613935,1,4.854907343548496,-0.05731931693456094
NorthLower,1,1,2024,129.61415022205298,4.864561961770193,1,4.797588026613935,0.06697393515625816
NorthLower,1,1,2025,132.81415022205297,4.888950784242883,1,4.864561961770193,0.02438882247269003
NorthLower,1,10,2023,26.991148575128552,3.2955089817053524,1,3.1954168931622133,0.10009208854313911
NorthLower,1,10,2024,39.41592653589793,3.6741699614256853,1,3.2955089817053524,0.37866097972033286
NorthLower,1,10,2025,37.34513020910303,3.6202025204572035,1,3.6741699614256853,-0.05396744096848183
NorthLower,1,100,2023,43.12831551628262,3.7641797539332784,1,3.77570637800795,-0.011526624074671421
NorthLower,1,100,2024,48.840704496667314,3.8885640737221583,1,3.7641797539332784,0.12438431978887987
NorthLower,1,100,2025,8.968140899333461,2.193678396990489,1,3.8885640737221583,-1.6948856767316691
NorthLower,1,101,2023,31.132741228718345,3.438260038036318,1,3.487483254177731,-0.049223216141412784
NorthLower,1,101,2024,37.84513020910303,3.6335023113445377,1,3.438260038036318,0.19524227330821953
NorthLower,1,101,2025,38.91592653589793,3.661403589350528,1,3.6335023113445377,0.027901278005990182
NorthLower,1,102,2023,32.70353755551324,3.487483254177731,1,3.331888337881174,0.15559491629655708
NorthLower,1,102,2024,37.84513020910303,3.6335023113445377,1,3.487483254177731,0.14601905716680674
NorthLower,1,102,2025,32.77433388230814,3.489645705486193,1,3.6335023113445377,-0.1438566058583448
NorthLower,1,103,2023,31.632741228718345,3.454192699029232,1,3.454192699029232,0
NorthLower,1,103,2024,44.05751918948772,3.7854960345118216,1,3.454192699029232,0.3313033354825894
NorthLower,1,103,2025,43.55751918948772,3.774082344870132,1,3.7854960345118216,-0.01141368964168965
NorthLower,1,104,2024,36.84513020910303,3.6067234581821315,1,3.331888337881174,0.2748351203009576
NorthLower,1,104,2025,34.84513020910303,3.550913391692312,1,3.6067234581821315,-0.055810066489819565
NorthLower,1,105,2023,26.420352248333657,3.2741346316447273,1,3.4197556043518955,-0.14562097270716823
NorthLower,1,105,2024,32.77433388230814,3.489645705486193,1,3.2741346316447273,0.21551107384146562
NorthLower,1,105,2025,28.561944901923447,3.3520752339596087,1,3.489645705486193,-0.1375704715265842
NorthLower,1,106,2023,33.20353755551324,3.502656423122993,1,3.40326008289462,0.09939634022837307
NorthLower,1,106,2024,44.55751918948772,3.7967809205837386,1,3.502656423122993,0.29412449746074554
NorthLower,1,106,2025,44.05751918948772,3.7854960345118216,1,3.7967809205837386,-0.011284886071917022
NorthLower,1,107,2023,32.70353755551324,3.487483254177731,1,3.313864082865935,0.17361917131179583
NorthLower,1,107,2024,40.98672286269283,3.7132481816419554,1,3.487483254177731,0.22576492746422439
NorthLower,1,107,2025,37.27433388230814,3.618304990130512,1,3.7132481816419554,-0.09494319151144337
NorthLower,1,108,2023,33.20353755551324,3.502656423122993,1,2.9722733418480036,0.5303830812749895
NorthLower,1,109,2023,34.77433388230814,3.5488795825522326,1,3.502656423122993,0.04622315942923949
NorthLower,1,109,2024,41.62831551628262,3.728780597171378,1,3.5488795825522326,0.17990101461914554
NorthLower,1,109,2025,34.77433388230814,3.5488795825522326,1,3.728780597171378,-0.17990101461914554
NorthLower,1,11,2024,37.98672286269283,3.637236700322372,1,3.6503133211063323,-0.013076620783960546
NorthLower,1,11,2025,35.48672286269283,3.5691586226566727,1,3.637236700322372,-0.06807807766569907
NorthLower,1,110,2024,15.066370614359172,2.7124651484875866,1,2.287875600305795,0.4245895481817916
