pop,tr,plantID,year,area,log_size,surv,log_size_t0
NorthLower,1,2018,2024,407.38602735425644,6.009761206086864,1,5.960971041917432
NorthLower,1,2018,2025,282.03648047602366,5.642036425961547,1,6.009761206086864
NorthLower,1,2019,2023,314.1592653589793,5.749900071837492,1,5.8163898131063245
NorthLower,1,2019,2024,306.30528372500487,5.724582263853201,1,5.749900071837492
NorthLower,1,2019,2025,265.4645792283375,5.581481420212528,1,5.724582263853201
NorthLower,1,2020,2023,455.53093477052005,6.121463628269975,1,6.165480513686749
NorthLower,1,2020,2024,409.97784129346803,6.016103112612148,1,6.121463628269975
NorthLower,1,2020,2025,402.1238596594935,5.996760149769018,1,6.016103112612148
NorthLower,1,2021,2023,373.22120724646743,5.922171292777945,1,6.352575349233361
NorthLower,1,2021,2024,0,NA,0,5.922171292777945
NorthLower,1,2022,2023,471.23889803846896,6.1553651799456555,1,6.086372308458705
NorthLower,1,2022,2024,477.5220833456485,6.168610406695676,1,6.1553651799456555
NorthLower,1,2022,2025,353.4291735288517,5.867683107493875,1,6.168610406695676
NorthLower,1,2025,2023,56.548667764616276,4.0351016437455645,1,4.363605710717601
NorthLower,1,2025,2024,0,NA,0,4.0351016437455645
NorthLower,1,2026,2023,37.69911184307752,3.6296365356374003,1,3.3419544631856195
NorthLower,1,2026,2024,42.411500823462205,3.7474195712937837,1,3.6296365356374003
NorthLower,1,2026,2025,51.83627878423158,3.9480902667559348,1,3.7474195712937837
NorthLower,1,2027,2023,133.5176877775662,4.894233961779771,1,4.440566751853729
NorthLower,1,2027,2024,259.1813939211579,5.557528179190036,1,4.894233961779771
NorthLower,1,2027,2025,263.89378290154264,5.575546684692714,1,5.557528179190036
NorthLower,1,2028,2024,276.46015351590177,5.622066700327607,1,5.4420152920681915
NorthLower,1,2028,2025,263.89378290154264,5.575546684692714,1,5.622066700327607
NorthLower,1,2029,2024,120.95131716320704,4.795388127143139,1,4.235772339207716
NorthLower,1,2029,2025,84.82300164692441,4.440566751853729,1,4.795388127143139
NorthLower,1,2030,2023,1074.4246875277092,6.979540622912006,1,6.951369745945309
NorthLower,1,2030,2024,1242.3035449539136,7.124722632756503,1,6.979540622912006
NorthLower,1,2030,2025,1150.7653890099411,7.048182555634169,1,7.124722632756503
NorthLower,1,2031,2023,77.75441817634737,4.353555374864099,1,4.0351016437455645
NorthLower,1,2031,2024,102.10176124166829,4.625969975185092,1,4.353555374864099
NorthLower,1,2031,2025,120.95131716320704,4.795388127143139,1,4.625969975185092
NorthLower,1,2032,2023,172.78759594743863,5.152063071081871,1,5.015930896757291
NorthLower,1,2032,2024,98.96016858807849,4.594717431680988,1,5.152063071081871
NorthLower,1,2032,2025,113.09733552923255,4.72824882430551,1,4.594717431680988
NorthLower,1,2033,2023,43.982297150257104,3.783787215464659,1,3.650255822840136
NorthLower,1,2033,2024,27.48893571891069,3.313783586218923,1,3.783787215464659
NorthLower,1,2033,2025,0,NA,0,3.313783586218923
NorthLower,1,2034,2024,653.451271946677,6.482267965550718,1,6.2323262210817845
NorthLower,1,2034,2025,678.5840131753953,6.520008293533565,1,6.482267965550718
NorthLower,1,2035,2024,60.47565858160351,4.102240946583193,1,3.85278008695161
