plot,tr,id,year,area,log_size,surv,size_t0
N-east,1,1034,2025,12.42477796076938,2.5196927014624024,1,2.602361801145407
N-east,1,1035,2023,27.991148575128552,3.331888337881174,1,3.369429583016294
N-east,1,1035,2024,26.991148575128552,3.2955089817053524,1,3.331888337881174
N-east,1,1035,2025,31.632741228718345,3.454192699029232,1,3.2955089817053524
N-east,1,1036,2023,26.420352248333657,3.2741346316447273,1,3.192513612053827
N-east,1,1036,2024,27.991148575128552,3.331888337881174,1,3.2741346316447273
N-east,1,1036,2025,26.420352248333657,3.2741346316447273,1,3.331888337881174
N-east,1,1037,2023,68.6774288665778,4.229420598907108,1,4.48653605430973
N-east,1,1037,2024,18.922565104551516,2.9403551307845923,1,4.229420598907108
N-east,1,1037,2025,16.172565104551516,2.7833162945610135,1,2.9403551307845923
N-east,2,1038,2023,30.132741228718345,3.405612329047532,1,3.2185217051803665
N-east,2,1038,2024,37.91592653589793,3.6353712490400714,1,3.405612329047532
N-east,2,1038,2025,36.84513020910303,3.6067234581821315,1,3.6353712490400714
N-east,2,1039,2023,53.466367599923835,3.9790528132310268,1,4.14436300138109
N-east,2,1039,2024,52.500660088821185,3.9608257426389404,1,3.9790528132310268
N-east,2,1039,2025,53.275217517577616,3.97547126089662,1,3.9608257426389404
N-east,2,1040,2023,47.769908169872416,3.866395905061158,1,3.9686207221055456
N-east,2,1040,2024,52.7754388031994,3.9660459083033124,1,3.866395905061158
N-east,2,1040,2025,55.553093477052,4.017339202690863,1,3.9660459083033124
N-east,2,1041,2023,71.11946409141117,4.264361055904637,1,4.151945286190159
N-east,2,1041,2024,63.57875658030853,4.152279398517412,1,4.264361055904637
N-east,2,1041,2025,60.026544477699495,4.094786872350211,1,4.152279398517412
N-east,2,1042,2023,42.12831551628262,3.7407200921933073,1,3.821943304552006
N-east,2,1042,2024,0,NA,0,3.7407200921933073
N-east,2,1043,2023,34.016811678385075,3.5268548635395125,1,3.5903721679338845
N-east,2,1043,2024,0,NA,0,3.5268548635395125
N-east,2,1044,2023,14.566370614359172,2.678715489269864,1,2.4786184169590766
N-east,2,1044,2024,17.707963267948966,2.874014440548168,1,2.678715489269864
N-east,2,1044,2025,18.207963267948966,2.901859040584074,1,2.874014440548168
N-east,2,1045,2024,7.1548667764616285,1.9677927931930859,1,3.3840901700215493
N-east,2,1045,2025,0,NA,0,1.9677927931930859
N-east,2,1046,2024,0,NA,0,1.4210804127942926
N-east,2,1047,2023,8.283185307179586,2.114227593354238,1,2.3373711446684475
N-east,2,1047,2024,13.495574287564276,2.602361801145407,1,2.114227593354238
N-east,2,1047,2025,13.495574287564276,2.602361801145407,1,2.602361801145407
N-east,2,1048,2023,11.010618695410399,2.3988601431076657,1,2.2028135761483436
N-east,2,1048,2024,39.98583772020569,3.688525334426102,1,2.3988601431076657
N-east,2,1048,2025,0,NA,0,3.688525334426102
N-east,2,1049,2023,40.91592653589793,3.711519389107225,1,3.780300276955946
N-east,2,1049,2024,58.553093477052,4.069933923439683,1,3.711519389107225
N-east,2,1049,2025,61.12388980384689,4.1129027849118405,1,4.069933923439683
N-east,2,1050,2023,60.28008429403924,4.099001772132222,1,4.2043622877900475
N-east,2,1050,2024,79.40264939859075,4.374531735436837,1,4.099001772132222
N-east,2,1050,2025,78.83185307179586,4.367317141985631,1,4.374531735436837
N-east,2,1051,2023,19.207963267948966,2.95532494658627,1,2.807374773914183
