pop,tr,plantID,year,area,log_size,surv,log_size_t0
NorthLower,1,109,2024,198.7057353395544,5.2918250134570295,1,5.213756640087211
NorthLower,1,109,2025,183.7831702350029,5.213756640087211,1,5.2918250134570295
NorthLower,1,11,2024,164.93361431346415,5.1055430554469785,1,5.200853235251303
NorthLower,1,11,2025,82.46680715673207,4.412395874887033,1,5.1055430554469785
NorthLower,1,110,2024,31.41592653589793,3.447314978843446,1,2.7541677982835004
NorthLower,1,110,2025,21.991148575128552,3.0906400349047134,1,3.447314978843446
NorthLower,1,111,2023,313.3738671955818,5.747396941619373,1,6.345985539554306
NorthLower,1,111,2024,325.15483964654356,5.784301498554824,1,5.747396941619373
NorthLower,1,111,2025,311.0176727053895,5.73984973598399,1,5.784301498554824
NorthLower,2,112,2023,358.1415625092364,5.880928334243896,1,5.880928334243896
NorthLower,2,112,2024,527.7875658030853,6.268693865252659,1,5.880928334243896
NorthLower,2,112,2025,535.6415474370597,6.2834651825729715,1,6.268693865252659
NorthLower,2,113,2023,307.0906818884023,5.727143084714875,1,5.682691322144041
NorthLower,2,113,2024,389.55748904513433,5.965011451454437,1,5.727143084714875
NorthLower,2,113,2025,389.55748904513433,5.965011451454437,1,5.965011451454437
NorthLower,2,114,2023,109.95574287564276,4.700077947338814,1,4.5206094595272655
NorthLower,2,114,2024,150.79644737231007,5.015930896757291,1,4.700077947338814
NorthLower,2,114,2025,112.31193736583512,4.721280154989417,1,5.015930896757291
NorthLower,2,115,2023,483.80526865282815,6.1816824882630295,1,6.204155344115088
NorthLower,2,115,2024,779.1149780902687,6.658158632014382,1,6.1816824882630295
NorthLower,2,115,2025,804.247719318987,6.689907330328962,1,6.658158632014382
NorthLower,2,116,2024,432.75438803199404,6.070170333882424,1,5.664342183475845
NorthLower,2,116,2025,245.04422698000388,5.501438712538992,1,6.070170333882424
NorthLower,2,117,2024,247.40042147019622,5.511008163555142,1,5.341931833511208
NorthLower,2,117,2025,161.63494202719485,5.085340348129459,1,5.511008163555142
NorthLower,2,118,2024,117.80972450961724,4.7690708188257656,1,4.0351016437455645
NorthLower,2,118,2025,94.24777960769379,4.545927267511556,1,4.7690708188257656
NorthLower,2,119,2024,223.83847656827274,5.41092470499816,1,4.795388127143139
NorthLower,2,119,2025,213.62830044410595,5.364237591025507,1,5.41092470499816
NorthLower,1,12,2023,122.52211349000194,4.808291531979046,1,4.440566751853729
NorthLower,1,12,2024,183.7831702350029,5.213756640087211,1,4.808291531979046
NorthLower,1,12,2025,169.64600329384882,5.1337139324136745,1,5.213756640087211
NorthLower,2,120,2023,339.29200658769764,5.82686111297362,1,6.05000466428783
NorthLower,2,120,2024,425.92142401043617,6.054254878576525,1,5.82686111297362
NorthLower,2,120,2025,486.94686130641793,6.188155002768647,1,6.054254878576525
NorthLower,2,121,2023,175.92918860102841,5.17008157658455,1,5.095973604430828
NorthLower,2,121,2024,177.57852474416308,5.179412904013434,1,5.17008157658455
NorthLower,2,121,2025,186.9247628885927,5.230706198400984,1,5.179412904013434
NorthLower,2,122,2023,252.89820861397834,5.532987070273918,1,5.421396004865455
NorthLower,2,122,2024,342.4728691494573,5.836192440402504,1,5.532987070273918
NorthLower,2,122,2025,347.14598822167216,5.849745406807208,1,5.836192440402504
NorthLower,2,123,2023,230.9070600388498,5.4420152920681915,1,5.367907319914469
