var,center,scale
log_size_t0,5.4132529202588024,0.953603291159527
ann_snow_days,56.538158094371255,15.87605708781035
win_meanT_mean,-6.470652725380115,1.8486518241898757
win_meanT_range,15.702070035659057,2.65059086829908
gs_snow_days,15.53952359277802,6.225790186412754
gs_meanT_mean,8.48530686944573,1.6538465406152107
gs_meanT_range,17.60774170063931,2.188725483197255
est_25,0.037832410906268606,0.2206767631747799
nrt_25,0.0943297425232027,0.38711857921166637
tpi_25,-0.003381735205173436,0.010645583205186031
tri_25,0.03662621531739459,0.018888880850576172
plcv_25,-0.04356115111680109,0.34074651750398344
prcv_25,-0.042041495958852364,0.366735737674644
pop_slp,11.523459752309705,6.611553013937685
pop_est,0.26880498137399045,0.42036422106617116
pop_nrt,0.04928013714717339,0.747185611781985
